"","BAM","PA_CF_1","PA_RH","PA_Temp","hour","h2o_rf","cvpreds","h2o_rf_m"
"60",17.5,19.97055556,41.33333333,90.33333333,"11",16.2477875566483,15.3149034714699,15.7449821281433
"61",13.1,15.37455556,38.64444444,91.46666667,"12",13.1229655814171,13.6361198353767,13.7104791331291
"62",15.4,16.30022223,35.13333333,94.24444444,"13",15.1217293214798,14.7904289627075,15.2689720773697
"63",20.7,15.20822223,31.71111111,96.2,"14",13.5306237721443,13.8338037109375,14.7599180793762
"64",21.7,17.92166667,32.04444444,96.13333333,"15",15.7730823922157,15.9899312257767,17.0864473199844
"65",24.8,20.13,32.17777778,95.88888889,"16",20.1184333729744,18.647684738636,19.7045545339584
"66",23.7,19.24811112,34.26666667,93.4,"17",19.7894627547264,19.3092683887482,20.0081503891945
"67",26.9,33.87277778,36.91111111,91.35555556,"18",26.0278205394745,23.8738240098953,25.8806161642075
"68",22.4,25.45988889,40.88888889,88.88888889,"19",22.2040681767464,21.2093463492394,21.7499158549309
"69",21.9,18.95866667,47.13333333,85.4,"20",18.9552581763268,19.0903246903419,19.5225540614128
"70",12.1,16.91133334,55.51111111,81.15555556,"21",16.2965012431145,16.9051064300537,15.7325452470779
"71",20.5,22.01411111,57.82222222,81.68888889,"22",19.8221560931206,19.3085759592056,20.0621763038635
"72",17.8,16.78711111,55.22222222,82.28888889,"23",15.7535987353325,14.4008370685577,15.3543983674049
"73",16.2,16.58966667,54.77777778,81.42222222,"0",15.4717560720444,14.7835588359833,15.1641681480408
"74",12.5,13.48188889,58.95555556,80.2,"1",11.8990311515331,11.9636094331741,12.1685664629936
"75",12.3,12.95066667,61.04444444,78.84444444,"2",10.8319144785404,10.7106256389618,11.1956693410873
"76",11.4,13.21277778,61.55555556,78.11111111,"3",11.8246446859837,12.4583259785175,11.7218799257278
"77",11.4,12.43930233,63.62790698,77.72093023,"4",11.5992692220211,11.2162354648113,11.3847123789787
"78",13.1,17.01207318,64.92682927,77,"5",12.6846080303192,12.477623257637,12.8409965837002
"79",14.7,22.23544445,64.53333333,77.24444444,"6",15.5246501803398,15.9787401986122,15.2377696347237
"80",17.4,33.06166667,64.22222222,78.15555556,"7",19.6168181657791,18.665860388279,19.0239125299454
"81",20,33.69766667,58.93333333,80.44444444,"8",20.8486064434052,19.8708119344711,19.883093957901
"82",17.8,21.83477778,49.46666667,85.24444444,"9",16.1647985315323,15.9894551849365,15.8898847270012
"83",17.8,17.27866667,44.11111111,87.95555556,"10",13.3828467702866,13.3024869227409,13.7999264144897
"84",14.4,16.34611111,40.8,89,"11",15.5584871530533,15.7027113056183,15.5532396221161
"85",17.2,15.83633334,36.02222222,91.66666667,"12",13.5594287919998,14.2170344853401,14.4064339351654
"86",14.3,15.95966667,34.11111111,92.68888889,"13",13.6305362176895,14.3249164700508,14.1788248372078
"87",21.2,16.42433334,30,94.95555556,"14",15.2051413965225,14.921026699543,15.2669622349739
"88",16.4,13.59904762,29.66666667,94.95238095,"15",15.300372440815,15.3112236738205,15.0304718899727
"89",20,15.55188889,31.11111111,94.26666667,"16",17.3097361159325,16.6122806477547,17.1523549079895
"90",21.7,19.94,34.22222222,91.82222222,"17",20.7198073911667,20.1791932225227,20.2343711614609
"91",27.8,21.15944444,37.53333333,90.26666667,"18",23.1517837524414,20.6795308804512,22.0661740422249
"92",8.2,12.38582126,49.2826087,83.52173913,"19",12.5184299659729,14.0988347136974,12.3505392336845
"93",9.9,14.04834091,51.84444444,80.77777778,"20",13.1081862044334,14.183379611969,13.1539302062988
"94",10.3,10.62988889,57.15555556,80,"21",9.93054488897324,10.2031097221375,10.2768020677567
"95",9.8,10.30055556,57.04444444,80,"22",9.93974903464317,10.7367790067196,10.9453334319592
"96",14.4,13.02844445,57.24444444,79.97777778,"23",11.4819119811058,10.83844409585,11.9982184672356
"97",13.4,14.83,58.08888889,79.17777778,"0",11.6586766421795,11.1640709805489,11.6873303461075
"98",17.7,18.03077778,60.06666667,78.86666667,"1",15.5882938027382,14.9090015888214,15.1953920602798
"99",14.1,16.70544445,61.8,78,"2",14.6093584620953,13.8060192632675,13.8709685301781
"100",11.3,15.55433333,63.84444444,77.26666667,"3",11.8273052477837,12.5479307150841,12.3481910610199
"101",12.7,18.25955556,64.93333333,76.97777778,"4",12.9458783578873,12.9524958848953,13.3964952087402
"102",14.4,22.39533333,65.91111111,76.44444444,"5",14.9328703284264,15.18448387146,15.2895645785332
"103",21.7,29.60188889,64.48888889,77,"6",20.3330834054947,19.2211627578735,19.5404732298851
"104",25.4,36.70777778,62.57777778,77.35555556,"7",20.0242375826836,18.6010575342178,19.5838869166374
"105",18.1,24.62922222,56.73333333,80.8,"8",15.9107251858711,16.1951414012909,15.9295869278908
"106",21.3,20.85269697,48.5,85.09090909,"9",15.9085152649879,14.5812944579124,15.5031379199028
"107",15.2,18.53177778,45.53333333,86.24444444,"10",13.4339175534248,14.447086482048,14.0995189213753
"108",17.5,11.97733334,39.15555556,90.4,"11",12.701744055748,12.0329166603088,13.3045716810226
"109",17.2,13.71144445,34.97777778,93.08888889,"12",12.5345120882988,12.3098678052425,13.1874509453773
"110",18.7,19.46733333,34.11111111,93.86666667,"13",15.2740600204468,15.3431844472885,15.8816762161255
"111",16.7,14.20177778,32.75555556,94.51111111,"14",13.2686977577209,14.1593038105965,14.5328486347198
"112",11.8,10.07115217,31.52173913,96,"15",10.0682266974449,9.98469788432121,10.4109993171692
"113",14.1,9.530666667,30.17777778,96.8,"16",8.6571754014492,10.153557715416,10.8678882455826
"114",12.3,12.26944444,33.66666667,94.37777778,"17",14.819531583786,16.0410259032249,14.9402274274826
"115",12.2,13.673,38.35555556,91,"18",14.3511509656906,15.261879222393,14.3917482542992
"116",21.2,21.44233334,43.11111111,88.55555556,"19",21.8454392433167,20.0076697707176,21.0076999235153
"117",10.5,13.86466667,54.8,82.31111111,"20",12.1608245527744,12.9338458561897,12.4170946645737
"118",13.6,16.68622222,61.37777778,80.37777778,"21",15.090882256031,14.9338988637924,14.5534555077553
"119",16.2,17.53422222,61.68888889,80,"22",14.7278976380825,16.070006377697,15.9619265556335
"120",19.7,24.867,63.75555556,79.55555556,"23",17.8768245100975,18.9912537384033,19.0029719924927
"121",17.3,21.09931819,64.75,79,"0",16.5245947504044,15.850229537487,15.9722995615005
"122",16.6,19.15288889,64.62222222,78.37777778,"1",14.3793025505543,14.5637621843815,14.8049019622803
"123",15.5,17.113,64.77777778,77.24444444,"2",13.0915485358238,12.8326179552078,13.3502295970917
"124",17.4,22.88877778,65.08888889,77.17777778,"3",14.2141333079338,13.9541231226921,14.2485662937164
"125",19.2,21.18277778,64.66666667,77.06666667,"4",15.0091749238968,14.7145326423645,14.9813654780388
"126",21.1,25.66434783,64.80434783,76.97826087,"5",15.5780296492577,15.3034985995293,15.9760197520256
"127",25.7,33.09355556,64.91111111,76.95555556,"6",19.6897656416893,19.0016574883461,19.6170893216133
"128",30.8,50.779,63.2,77.53333333,"7",26.3453529071808,24.1459975862503,25.273312625885
"129",26.4,39.535,57.08888889,80.71111111,"8",22.6427225399017,20.0227922964096,21.1319414925575
"130",14.3,22.59244444,51.68888889,83.53333333,"9",15.9482166314125,15.7303105163574,15.7816873478889
"131",14.4,17.27522223,44.28888889,88.11111111,"10",13.2332334780693,13.3516344332695,13.658584856987
"132",14.2,16.09911111,38.44444444,91.6,"11",13.6877727675438,14.0951189517975,14.3568820595741
"133",18.2,18.82866667,34.71111111,94.02222222,"12",13.1414492845535,13.381451215744,14.0782971024513
"134",18.3,16.82922222,32.8,95.68888889,"13",14.5993285346031,15.1086690425873,15.2402595591545
"135",18.8,14.82755556,32.06666667,95.88888889,"14",13.451997525692,14.7736198854446,14.8174953985214
"136",20.6,16.30866107,33.2173913,94.7826087,"15",16.5144475603104,16.6025172829628,17.0971234536171
"137",19,18.513,33.71111111,93.97777778,"16",17.5483183574677,18.7561507797241,18.9143801641464
"138",25.3,19.34911111,35.55555556,92.66666667,"17",20.2283654713631,18.9927121329308,19.9731417608261
"139",24.3,22.21411111,43.97777778,87.51111111,"18",23.1723173618317,20.7072969126701,21.2344137239456
"140",16.9,19.87048626,51.06818182,83.40909091,"19",18.5847364068031,18.9905870223045,18.7504482841492
"141",31.8,26.75377778,55.86666667,82.95555556,"20",24.0419894742966,22.5722594451904,23.481623415947
"142",29.1,29.10833334,64.15555556,79.97777778,"21",23.0544764661789,22.3130191254616,23.7628591966629
"143",25.5,29.81955556,65.26666667,79.88888889,"22",23.3335199069977,22.5745585560799,23.2935531616211
"144",26.8,26.99288889,63.93333333,79.55555556,"23",19.1289866781235,19.7092863249779,20.8005218100548
"145",25.1,30.11977778,63.95555556,79.02222222,"0",18.6811566257477,18.4343054032326,19.0191996216774
"146",18.7,20.49011111,63.48888889,78.42222222,"1",14.6728727126122,14.5955813789368,15.2687047553062
"147",13.4,15.52877778,61.97777778,78.95555556,"2",12.1197086715698,12.3457886075974,12.6245062112808
"148",12.5,16.06266667,60.82222222,79,"3",13.005862596035,13.4473269236088,13.1581889986992
"149",12.5,13.52866667,60.68888889,78.35555556,"4",12.2091701316833,12.3964344346523,12.3039825093746
"150",13.4,15.67411112,61.88888889,78,"5",13.4711863613129,12.9166838216782,13.1345880198479
"151",21.6,30.91033333,60.8,78,"6",20.5505866551399,20.2729011869431,20.1949570441246
"152",22.1,31.20666667,59.73333333,78.66666667,"7",20.1534040188789,18.4925623512268,19.1429966616631
"153",17.9,24.76944445,56.24444444,80.62222222,"8",16.0826303386688,15.7980096936226,16.0321376609802
"154",16.8,16.79188889,50.06666667,83.68888889,"9",12.1225264942646,12.3386659884453,13.7413539338112
"155",18.6,13.87544445,47.08888889,85.35555556,"10",13.0537008786201,11.6702581679821,13.0595756149292
"156",19.8,11.401,42.82222222,88.26666667,"11",12.1229423666,12.1438414204121,13.7584285330772
"157",15.8,12.66788889,40.6,89.91111111,"12",12.7707908153534,13.2071093416214,13.5123775029182
"158",14.8,11.47555556,37.91111111,91.95555556,"13",12.7476361560822,14.0359960079193,13.6608508896828
"159",20.1,12.23844445,33.26666667,95.28888889,"14",12.614135286808,12.8567474985123,13.5319957113266
"160",17.4,9.367666667,31.62222222,95.97777778,"15",10.6249883973598,8.93817044258118,11.0734318768978
"161",13.8,11.04533333,35.06666667,93.77777778,"16",14.454799977541,14.4264321672916,14.447831594944
"162",20.9,14.24811111,35.46666667,93.26666667,"17",15.8310264897346,15.2882217979431,16.2198159575462
"163",25,22.50711111,38.57777778,90.86666667,"18",23.3293400907516,21.5516757702827,22.2329199504852
"164",17.8,21.68477778,54.11111111,86.02222222,"19",21.3500122499466,20.0400867247581,20.5788941574097
"165",38.4,60.78955556,59.33333333,85,"20",37.380013551712,35.1541736936569,36.7197249698639
"166",46.2,74.40777778,61.26666667,83.75555556,"21",47.061357793808,45.6073935508728,47.1155874061584
"167",20.6,28.74277778,67.11111111,79.84444444,"22",22.3058795452118,22.124767768383,21.6166613769531
"168",22.9,29.17011112,69.88888889,78.71111111,"23",19.6218946456909,18.834542350769,20.2978132009506
"169",23.8,26.47755556,69.73333333,79,"0",18.6998959565163,17.3420117092133,18.637214140892
"170",20.5,21.06077778,70.04444444,78,"1",13.9255348920822,14.4899020600319,14.716822412014
"171",23,18.91888889,69.55555556,78,"2",16.0550825095177,13.5256072461605,15.2972361278534
"172",14.6,14.79033334,68.57777778,78,"3",12.9646565556526,12.6162035930157,12.7587421417236
"173",14.1,13.086,67.26666667,78,"4",11.8304758608341,11.2827471578121,12.0250345957279
"174",16.3,15.69888889,66.8,78,"5",13.214144769907,12.2851570534706,12.8723321390152
"175",19.5,29.12488889,66.73333333,77.97777778,"6",19.7056219887733,19.1666579532623,19.4155494689941
"176",20.6,32.03566667,64.68888889,78.8,"7",20.3360627102852,18.8729525589943,19.1631330633163
"177",16.6,16.25,58.93333333,80.93333333,"8",12.6817747247219,10.4042025816441,11.6805144107342
"178",13.3,14.01066667,54.62222222,82.6,"9",9.56210512161255,9.8312552011013,10.2909556698799
"179",14.8,14.13977778,49.35555556,85.68888889,"10",13.1062000060081,13.4972948765755,13.4088397216797
"180",19.9,12.62788889,43.95555556,88.68888889,"11",13.1754568648338,12.3955389797688,13.249586622715
"181",15.7,12.30055556,41.95555556,90.13333333,"12",12.571593747139,13.3633511257172,13.4508121275902
"182",16.6,12.58577778,40.4,91.28888889,"13",12.8740981316566,13.2952201867104,13.5042074751854
"183",13.9,12.42711111,39.17777778,92.64444444,"14",12.961951110363,13.467588262558,13.4300435781479
"184",20,12.85090909,36.13636364,94.81818182,"15",15.6240051341057,15.2132661104202,15.5787403321266
"185",20.4,21.38055556,37.91111111,93.86666667,"16",19.2883154273033,18.561901204586,18.8386188840866
"186",20.8,20.14577778,42.53333333,89.88888889,"18",19.0864829111099,17.825408141613,19.075378742218
"187",25.4,33.42478261,43.95652174,88.39130435,"19",24.92544880867,23.0224625062943,23.2009189462662
"188",27,32.77444445,46,87.44444444,"20",23.9841113805771,21.8807710790634,23.1116873407364
"189",36.1,36.42344445,49,86.35555556,"21",26.2720805025101,22.4717077922821,25.7569160056114
"190",22.6,25.12906977,57.65116279,81.95348837,"22",20.2749896216393,20.0218433713913,20.4150688409805
"191",21.7,19.81277778,62.35555556,79.84444444,"23",16.3751273965836,14.2437569856644,15.7702795600891
"192",14.4,19.50688889,67.66666667,78.15555556,"0",15.1028560614586,14.2420550560951,14.3113284301758
"193",15.2,14.48811111,69.13333333,78,"1",11.8161153769493,11.4290065860748,12.0432420182228
"194",13,16.70044445,70.42222222,77.62222222,"2",14.1724929225445,13.1403682351112,13.2208550453186
"195",10,12.278,69.53333333,77,"3",10.3301923906803,10.3634817266464,10.4156673562527
"196",13.7,15.93933334,69.28888889,77,"4",12.6865986955166,13.137431306839,13.1435356283188
"197",17.1,18.229,68.28888889,77,"5",13.1864965939522,12.8188292038441,13.5280290937424
"198",21.5,25.16422222,67.11111111,77.06666667,"6",16.6819885993004,16.1254881429672,17.1164591026306
"199",20.5,31.11733334,68.26666667,77,"7",20.8909314227104,20.5722111845016,20.5654665851593
"200",19.8,32.20666667,66.86666667,77.75555556,"8",18.3192149806023,18.374780330658,18.1047468280792
"201",16.3,27.37955556,60.95555556,80.97777778,"9",15.3717072057724,15.7809423732758,15.6101362037659
"202",13.8,18.61366667,55.13333333,83.77777778,"10",14.3332512497902,14.2783864378929,14.13330919981
"203",9.9,19.52377778,52.53333333,85.24444444,"11",16.0775635075569,16.2543302178383,15.1890847086906
"204",13.3,19.07844445,46.4,88.77777778,"12",15.2576536667347,16.207117254734,15.1279165577888
"205",15.8,16.46444445,42.44444444,90.51111111,"13",16.2904128813744,16.1700633311272,16.104335873127
"206",10.6,13.87588889,39,92.66666667,"14",13.0285757160187,13.5492942547798,13.3857126307487
"207",13.1,13.628,36.62222222,93.82222222,"15",15.2463293218613,15.5289145517349,15.2520826411247
"208",18.2,15.918,35.82222222,93.8,"16",18.346858048439,17.581172542572,17.7877479195595
"209",33.9,33.78811111,39.88888889,91.17777778,"17",27.0766520118713,23.8836910176277,26.7045492982864
"210",28.5,28.00744186,55.23255814,85.41860465,"18",26.072779378891,23.6903948831558,24.6889673876762
"211",10.6,17.82704546,69.81818182,78.52272727,"19",13.6773219466209,13.7847479116917,12.4743432223797
"212",13.6,18.37811111,71.08888889,77.02222222,"20",14.9412743020058,15.1141432213783,14.8700410079956
"213",15.8,17.74633334,70.46666667,77,"21",15.3262853884697,14.8072703957558,15.1879891228676
"214",13.3,15.88922223,68.4,77,"22",12.624891024828,11.9443420612812,12.3928105068207
"215",18.4,15.807,66.84444444,77,"23",13.048926306963,11.5704537558556,12.8699855053425
"216",13.9,16.11671717,67.08888889,77,"0",12.2512815070152,12.9491602730751,12.928783929348
"217",12.6,14.34911111,67.22222222,77,"1",12.0511316919327,12.0468759679794,12.172949616909
"218",14.4,24.42326087,67.84782609,76.34782609,"2",15.8927988409996,16.3139985203743,15.5400866556168
"219",12,14.53811111,67.86666667,76,"3",12.76062541008,12.524309104681,12.3699259781837
"220",7.8,13.40333334,67.68888889,76,"4",10.9496828114986,11.4451564276218,11.1175185239315
"221",12.3,20.91244445,67.88888889,75.22222222,"5",15.136979367733,15.4587501716614,14.9774102210999
"222",17.2,23.40766667,68.22222222,75,"6",15.6050303125381,15.9009775781631,15.6003512215614
"223",21.5,37.38344445,65.62222222,76.35555556,"7",21.3163377809525,21.1988404607773,21.1604920387268
"224",21.1,27.01455556,61.57777778,78,"8",15.1999259912968,14.9816565442085,15.6622425842285
"225",10.4,16.91622222,59.44444444,79.31111111,"9",12.7515893387794,13.7517533588409,13.2734359097481
"226",21.5,15.58155556,52.97777778,82.84444444,"10",12.7648286485672,12.4221764814854,14.1247794556618
"227",16.3,16.65055556,50.75555556,84.51111111,"11",15.3494404935837,14.4748969960213,15.11922539711
"228",13.7,15.34777778,45.4,87.93333333,"12",12.9974612593651,13.2530746412277,13.2661599588394
"229",14.4,16.14644445,45.06666667,88.28888889,"13",15.2720631217957,15.4651589632034,15.3982755327225
"230",18.2,13.64466667,42.6,89.97777778,"14",13.2442453742027,13.4105732798576,13.480225584507
"231",13.3,11.28211111,44.91111111,87.11111111,"15",13.9716418933868,13.8777855539322,13.9216236567497
"232",15.6,12.53611111,47.06666667,86.33333333,"16",14.4965981674194,14.5609966301918,14.9230578374863
"233",11.2,10.022,48.28888889,85.66666667,"17",11.8093515634537,12.2506917095184,11.8433458209038
"234",16,13.10488889,50.46666667,84.13333333,"18",13.9339379644394,13.3366050314903,14.0505701684952
"235",20,17.81888889,55.06666667,81.91111111,"19",17.0566366410255,15.7848664832115,16.4965042591095
"236",13,16.27311111,57.15555556,80.22222222,"20",14.7339235544205,15.8180224442482,14.9808665347099
"237",13,11.48688889,59.48888889,78.55555556,"21",10.6552193188667,10.6462317740917,10.7192979574203
"238",10.4,9.776333334,62.86666667,77.73333333,"22",9.33036282300949,9.78523682117462,9.96857536554337
"239",14,12.25611112,66.42222222,77.08888889,"23",8.35731695652008,8.22929846763611,9.90479602694511
"240",9.7,10.81344445,66.84444444,76.97777778,"0",9.07612839818001,9.19327962636948,9.35470284581184
"241",11.2,10.62033333,66.4,76.97777778,"1",9.6262394630909,9.48429924309254,10.085633764267
"242",7.8,9.723320707,66.13636364,76.09090909,"2",8.15090486288071,7.92185618162155,8.20092511177063
"243",12.6,13.09239131,66.86956522,76.04347826,"3",11.4021350240707,10.983700504303,11.4661114907265
"244",13.3,15.05928572,67,76,"4",12.5331233048439,12.6824383711815,12.7196254920959
"245",13,16.46511111,67.26666667,75.17777778,"5",11.754742923975,12.4286917150021,12.5618478167057
"246",17.1,25.06588889,67.57777778,75.08888889,"6",16.3573877191544,16.8176099920273,16.8470847129822
"247",26.2,37.04222223,65.68888889,76,"7",21.4776695823669,20.2459326338768,21.0858461904526
"248",14.5,23.61466667,62.66666667,77.15555556,"8",15.0644902682304,15.1521493530273,14.876027572155
"249",16.9,19.388,55.06666667,80.84444444,"9",13.9926935744286,14.4663166022301,14.3695049285889
"250",15.3,19.84433333,54.22222222,81.31111111,"10",15.3560153675079,14.5234540939331,14.739004099369
"251",15.9,21.163,50.6,83.53333333,"11",18.8965276098251,16.0598629951477,16.0857195854187
"252",18.1,20.12255556,46.57777778,85.97777778,"12",16.5120634031296,14.6562281847,15.4960538196564
"253",19.7,16.86,45.95555556,86.68888889,"13",17.3846622443199,17.0380087971687,17.219362988472
"254",18,16.98011112,48.91111111,84.82222222,"14",16.1807049465179,16.5131262993813,16.0508424949646
"255",14.6,11.17777778,48.84444444,84.26666667,"15",13.442522803545,13.7221149754524,13.5450013017654
"256",17.9,13.77144445,48.08888889,84.77777778,"16",14.6252535200119,14.3565517616272,15.0166923499107
"257",15.7,14.41715909,49.54545455,83.38636364,"17",14.4554649949074,15.6925936365128,15.327292342186
"258",17.3,20.78834402,56.25,80.55555556,"18",18.0624789810181,18.1080341148376,18.469216530323
"259",17.7,19.11549203,56,79.21621622,"19",16.4459018826485,15.4071929359436,16.5233224081993
"260",16.2,20.71426316,64.94736842,77.15789474,"20",17.649335258007,18.5576220202446,18.0111418032646
"261",20.3,18.77296235,72,75.30232558,"21",15.3272334122658,15.2967544388771,15.9677407431602
"262",9.2,15.3803092,74.15909091,74.11363636,"22",11.081286367178,9.75160515546799,10.0831801140308
"263",7.6,14.56625,74.06818182,73.97727273,"23",11.0449781000614,10.5104906725883,9.80352185368538
"264",10.3,14.85953058,74.78378378,73.16216216,"0",10.3567993283272,10.3905359244347,10.2785952293873
"265",13.6,17.22813044,74.65217391,72.56521739,"1",12.5835025632381,12.0935647702217,12.2649060988426
"266",6.4,20.28606897,60.48,79.48,"10",13.95905367136,14.6996292877197,13.8631364440918
"267",24,20.71678253,55.45454545,81.48484848,"11",18.6895376992226,15.5866691255569,16.3676343488693
"268",20.9,20.24083875,51.23809524,83.5,"12",16.3447084784508,15.4682456350327,15.3651676297188
"269",27.4,19.52788131,46.54545455,85.84090909,"13",17.2130548357964,16.4874410700798,17.8502858042717
"270",28.7,20.91477778,46.11111111,85.73333333,"14",20.808911485672,17.7360579681396,19.2656184864044
"271",20.4,19.41088889,47.95555556,84.26666667,"15",17.671704416275,17.7450523686409,18.1939852499962
"272",19.5,15.17055556,49.33333333,84.4,"16",14.0567000055313,14.4402370619774,15.3508933925629
"273",25.6,20.81911111,51.33333333,82.84444444,"17",21.0762989211082,19.9463505649567,20.6484183073044
"274",30,28.18133334,52.82222222,81.97777778,"18",25.925235657692,23.4454569149017,24.8475875759125
"275",23,26.43222222,59.91111111,79.53333333,"19",22.4761163592339,20.9083618354797,21.7346078014374
"276",23.4,29.52266667,64.6,77.71111111,"20",22.4778909802437,21.8983593201637,22.4032798576355
"277",24.6,30.221,65.44444444,77,"21",21.9109042286873,20.7272027993202,21.4127920770645
