"","BAM","PA_CF_ATM","PA_RH","PA_Temp","hour","h2o_rf","cvpreds","h2o_rf_m"
"27",11.6,13.85088889,62.04444444,77,"2",11.54255387187,10.2903180909157,11.2897251939774
"28",16.2,17.41333333,63.04444444,76.4,"3",13.4405949389935,13.2499795436859,13.5271138703823
"29",15.8,15.684,63.35555556,76.02222222,"4",13.0659169816971,12.9202638375759,13.3615052652359
"30",21.3,21.56755556,63.84444444,75.4,"5",15.4537460756302,15.0294210529327,15.7903080201149
"31",18.6,30.70288889,66.13333333,75.17777778,"6",20.5142153453827,19.7941797590256,19.6916223526001
"32",26.7,38.52733333,64,77.02222222,"7",24.0349317836761,23.4604426670074,24.0525805234909
"33",26.9,35.755,58.71111111,80.06666667,"8",22.4813434505463,19.998032913208,21.3587896537781
"34",20.6,24.26544445,49.08888889,85.08888889,"9",17.0372674179077,15.8243398761749,16.2079127144814
"35",16.5,13.18811111,41.17777778,89.66666667,"10",13.0671512210369,12.6484248673916,13.7052944600582
"36",14.1,16.25344445,34.8,93,"11",13.8715397644043,14.0152488470078,13.9870573401451
"37",16.6,15.83333333,31.71111111,94.93333333,"12",13.3214955854416,13.0114872431755,13.7873014211655
"38",13.5,11.64188889,28.02222222,97.88888889,"13",11.7472981190681,11.3678400468826,11.5564600551128
"39",19.2,13.93411111,29.31111111,97.6,"14",13.8998611450195,13.1689513158798,14.1710720610619
"40",19,18.17022222,30.42222222,95.95555556,"15",15.3687634301186,15.8439342141151,16.166630449295
"41",17.1,15.02077778,28.93333333,96.66666667,"16",15.2779979753494,14.8643772387505,15.3823567485809
"42",21.1,15.11644445,30.26666667,95.31111111,"17",16.6623123598099,16.0714199662209,17.1842401003838
"43",17.3,16.92488889,47.6,87.68888889,"18",17.857266561985,18.7201009249687,18.291875667572
"44",19,23.14155556,56.37777778,82.97777778,"19",21.6136683177948,20.5600060391426,20.3312391066551
"45",25.4,25.97544445,52.86666667,83,"20",23.5491460371017,23.6802223277092,23.9167680931091
"46",19.3,18.62266667,50.55555556,83,"21",17.8597840476036,17.5603309440613,18.4316167235374
"47",15.7,18.33377778,53.84444444,81.97777778,"22",15.7820680403709,17.6112458062172,16.9098605060577
"48",12.4,16.00177778,54.62222222,81,"23",13.4495350599289,14.1721218514442,13.8836714839935
"49",13.8,15.27511364,55.02272727,80.56818182,"0",12.6163545370102,11.7414794230461,12.722047894001
"50",19.1,15.86844444,56.42222222,79.71111111,"1",14.2864556121826,13.0139592790604,14.5547713148594
"51",11.3,12.61311111,59.08888889,78.64444444,"2",10.5679885578156,10.9313357555866,11.252684186697
"52",15.2,12.59211111,60.84444444,78,"3",11.9464944040775,11.0592953288555,11.8448452961445
"53",10.5,10.23711112,60.57777778,78.08888889,"4",8.28629846990109,8.91522067785263,9.29994870781898
"54",13.6,13.99144445,62.11111111,77.55555556,"5",13.158639216423,11.9995274412632,12.6376323771477
"55",17.5,24.21722223,64.13333333,77.11111111,"6",16.2335866785049,17.3227684235573,17.2375914859772
"56",21.7,29.986,63.06666667,78.04444444,"7",19.4063468408585,18.576092505455,18.5727674722672
"57",21.7,28.78233334,58.86666667,80.02222222,"8",19.1492884802818,18.1855574154854,18.9620688295364
"58",23.7,23.24177778,49.42222222,85.4,"9",16.9288047528267,15.4747772097588,16.2721438241005
"59",14,22.58411111,47.6,86.33333333,"10",16.0964889669418,15.8407462215424,15.699369366169
"60",17.5,19.94966667,41.33333333,90.33333333,"11",16.8489420008659,15.3686946439743,15.9171413683891
"61",13.1,15.37455556,38.64444444,91.46666667,"12",13.2653394269943,13.611745967865,13.8247885870934
"62",15.4,16.29566667,35.13333333,94.24444444,"13",14.9060256934166,14.8142656230927,15.302201218605
"63",20.7,15.20822223,31.71111111,96.2,"14",13.8114232254028,14.1886586952209,15.1120582938194
"64",21.7,17.92111111,32.04444444,96.13333333,"15",15.6617984604836,16.4352205705643,17.0523520493507
"65",24.8,20.005,32.17777778,95.88888889,"16",20.0485927295685,18.6423492026329,19.7013093328476
"66",23.7,19.12022223,34.26666667,93.4,"17",20.2276005411148,19.182863483429,20.2850955057144
"67",26.9,30.39622223,36.91111111,91.35555556,"18",25.4914299345016,24.6963005924225,25.5621858358383
"68",22.4,25.33944445,40.88888889,88.88888889,"19",22.3571764612198,21.9241624212265,21.9123422288895
"69",21.9,18.92688889,47.13333333,85.4,"20",19.4414475274086,18.2532686853409,19.6902978491783
"70",12.1,16.91133334,55.51111111,81.15555556,"21",16.2815701460838,16.6851363754272,15.9334915161133
"71",20.5,21.99188889,57.82222222,81.68888889,"22",19.9789001178741,20.0194555091858,20.2798835468292
"72",17.8,16.78611111,55.22222222,82.28888889,"23",15.6669130420685,14.9081437659264,15.2867482352257
"73",16.2,16.58966667,54.77777778,81.42222222,"0",15.4052262878418,15.1585682559013,15.2683988690376
"74",12.5,13.48188889,58.95555556,80.2,"1",11.946019551754,12.4445000529289,12.2183739602566
"75",12.3,12.95066667,61.04444444,78.84444444,"2",10.8270586156845,10.8706719982624,11.0053319060802
"76",11.4,13.21277778,61.55555556,78.11111111,"3",11.9296352505684,12.1597773516178,11.7042232632637
"77",11.4,12.43930233,63.62790698,77.72093023,"4",11.5137037146091,11.173500534296,11.4203489363194
"78",13.1,17.01207318,64.92682927,77,"5",12.8533474111557,12.930386800766,12.7601279056072
"79",14.7,22.23033334,64.53333333,77.24444444,"6",15.6506409215927,15.8507321929932,15.5556370711327
"80",17.4,31.37244445,64.22222222,78.15555556,"7",19.7050514602661,18.9360483884811,18.682024474144
"81",20,31.68122222,58.93333333,80.44444444,"8",20.2502041316032,19.3827414488792,19.3130487513542
"82",17.8,21.75266667,49.46666667,85.24444444,"9",16.4866920423508,15.8248055505753,16.1051553750038
"83",17.8,17.27866667,44.11111111,87.95555556,"10",13.7678885936737,13.2780082404614,14.0111380338669
"84",14.4,16.34611111,40.8,89,"11",15.4606873321533,15.6876194667816,15.6033400464058
"85",17.2,15.83633334,36.02222222,91.66666667,"12",13.6318841075897,14.0444203329086,14.2365770983696
"86",14.3,15.95966667,34.11111111,92.68888889,"13",13.4836806511879,14.1725835108757,14.0669601941109
"87",21.2,16.41522222,30,94.95555556,"14",14.6767952609062,14.4468409323692,15.1194268989563
"88",16.4,13.59904762,29.66666667,94.95238095,"15",15.2356489109993,14.464241168499,14.9470096111298
"89",20,15.55166667,31.11111111,94.26666667,"16",17.4808433890343,17.0125148916245,17.166134557724
"90",21.7,19.70466667,34.22222222,91.82222222,"17",20.6989181184769,20.133297355175,20.3936021399498
"91",27.8,21.00333334,37.53333333,90.26666667,"18",23.0427774453163,19.9487096810341,21.391930205822
"92",8.2,12.38582126,49.2826087,83.52173913,"19",12.5321034383774,13.6480288851261,12.3130157721043
"93",9.9,14.03010606,51.84444444,80.77777778,"20",13.1232821321487,14.2057236158848,13.1382011532784
"94",10.3,10.62988889,57.15555556,80,"21",9.85426822066307,9.89234088897705,10.3015075385571
"95",9.8,10.30055556,57.04444444,80,"22",10.0866215920448,11.5296212697029,10.9502758526802
"96",14.4,13.02844445,57.24444444,79.97777778,"23",11.8290254414082,11.2922050583363,11.9621347272396
"97",13.4,14.83,58.08888889,79.17777778,"0",11.644377862215,11.2304886138439,11.7599740803242
"98",17.7,18.03055556,60.06666667,78.86666667,"1",15.5056308507919,15.0424814224243,15.2916406130791
"99",14.1,16.70544445,61.8,78,"2",14.5663387417793,13.8974530100822,13.9413453102112
"100",11.3,15.55433333,63.84444444,77.26666667,"3",12.0183438873291,12.493493282795,12.3943640649319
"101",12.7,18.25955556,64.93333333,76.97777778,"4",12.9141198015213,13.2089607143402,13.252383633852
"102",14.4,22.39488889,65.91111111,76.44444444,"5",15.0489662456512,15.3216538381577,15.2003453040123
"103",21.7,28.67777778,64.48888889,77,"6",19.7789549946785,19.1334418082237,19.3384858679771
"104",25.4,33.69322222,62.57777778,77.35555556,"7",19.9924785971642,19.3517710065842,20.0607288408279
"105",18.1,24.33877778,56.73333333,80.8,"8",16.4682462692261,15.7650986993313,16.0130557131767
"106",21.3,20.84435354,48.5,85.09090909,"9",16.3546427512169,14.632268794775,16.0239951610565
"107",15.2,18.50733333,45.53333333,86.24444444,"10",13.9680001401901,14.6841236352921,14.0295698833466
"108",17.5,11.97733334,39.15555556,90.4,"11",12.719878282547,12.4375108146667,13.2082318878174
"109",17.2,13.69333333,34.97777778,93.08888889,"12",12.5979719114304,12.7296568489075,13.3002472662926
"110",18.7,18.96966667,34.11111111,93.86666667,"13",14.5244291949272,14.3868134427071,15.511493229866
"111",16.7,14.11077778,32.75555556,94.51111111,"14",13.1515883278847,14.6167211151123,14.5358680605888
"112",11.8,10.07115217,31.52173913,96,"15",10.2200230264664,10.9234509015083,10.7437822568417
"113",14.1,9.530666667,30.17777778,96.8,"16",8.77499559164047,9.6351657640934,11.0230399751663
"114",12.3,12.25155556,33.66666667,94.37777778,"17",14.7180604815483,15.6038905930519,14.7710428023338
"115",12.2,13.66766667,38.35555556,91,"18",14.4078168916702,15.1435574221611,14.4551119804382
"116",21.2,21.257,43.11111111,88.55555556,"19",21.7325919675827,20.2384570860863,20.4727837991714
"117",10.5,13.86466667,54.8,82.31111111,"20",12.2331747102737,13.0138169968128,12.3230607497692
"118",13.6,16.67844445,61.37777778,80.37777778,"21",14.9486129617691,15.1500160121918,14.7964441108704
"119",16.2,17.53122223,61.68888889,80,"22",14.6524827599525,15.7165888953209,15.8245658159256
"120",19.7,24.52866667,63.75555556,79.55555556,"23",17.8239695954323,18.8247291851044,19.1066050314903
"121",17.3,21.09761364,64.75,79,"0",16.8387118268013,16.3441371536255,16.1328904628754
"122",16.6,19.15044445,64.62222222,78.37777778,"1",14.6147912943363,15.1063433504105,14.8746235871315
"123",15.5,17.113,64.77777778,77.24444444,"2",13.1211201035976,12.8838332295418,13.2532075512409
"124",17.4,22.86611111,65.08888889,77.17777778,"3",14.2061359667778,14.2451094794273,14.3086436986923
"125",19.2,21.17922223,64.66666667,77.06666667,"4",15.1719118666649,14.4167968559265,14.9615884971619
"126",21.1,25.50945652,64.80434783,76.97826087,"5",15.8698375320435,15.6487702775002,16.3537552452087
"127",25.7,31.18211111,64.91111111,76.95555556,"6",19.7009665966034,18.8969117856026,19.4144280147552
"128",30.8,41.35566667,63.2,77.53333333,"7",26.9190822744369,24.2779700136185,25.0806356048584
"129",26.4,35.14011111,57.08888889,80.71111111,"8",22.4774406385422,19.9240028047562,20.7188654994965
"130",14.3,22.57077778,51.68888889,83.53333333,"9",16.1268992781639,16.4223962044716,16.0424883675575
"131",14.4,17.275,44.28888889,88.11111111,"10",13.6677491927147,13.2255090141296,13.8758015847206
"132",14.2,16.09911111,38.44444444,91.6,"11",13.5899442267418,14.6603766918182,14.1768445849419
"133",18.2,18.74311112,34.71111111,94.02222222,"12",12.9585240781307,13.0697194540501,14.0537431120873
"134",18.3,16.82922222,32.8,95.68888889,"13",14.5356320476532,15.5146404838562,15.2810142397881
"135",18.8,14.82755556,32.06666667,95.88888889,"14",13.5457010149956,14.4267655968666,14.9323958277702
"136",20.6,16.30866107,33.2173913,94.7826087,"15",16.3704106712341,16.3951497173309,17.1236736488342
"137",19,18.513,33.71111111,93.97777778,"16",18.5786355686188,19.0394300413132,19.3343911361694
"138",25.3,19.34622222,35.55555556,92.66666667,"17",20.5113637447357,19.1788668298721,20.3509126853943
"139",24.3,22.16966667,43.97777778,87.51111111,"18",23.2721062040329,20.6490356063843,21.0096249437332
"140",16.9,19.86749472,51.06818182,83.40909091,"19",18.5943168020248,19.1567811536789,18.7987370371819
"141",31.8,26.09644445,55.86666667,82.95555556,"20",23.5930191111565,22.4260353016853,23.9562544059753
"142",29.1,28.42233334,64.15555556,79.97777778,"21",22.5841232037544,22.0027481746674,23.3039129829407
"143",25.5,28.79666667,65.26666667,79.88888889,"22",23.1881185054779,22.4713987636566,22.7994694232941
"144",26.8,26.19144445,63.93333333,79.55555556,"23",18.2052870106697,19.2554735636711,20.5439086985588
"145",25.1,29.253,63.95555556,79.02222222,"0",18.402622385025,18.2386975216866,18.7226745152473
"146",18.7,20.44744445,63.48888889,78.42222222,"1",14.5130019617081,14.5488930606842,15.1442979645729
"147",13.4,15.52877778,61.97777778,78.95555556,"2",12.1117806017399,12.4240010476112,12.6396284747124
"148",12.5,16.06266667,60.82222222,79,"3",12.919954199791,13.0225499105453,12.9297992742062
"149",12.5,13.52866667,60.68888889,78.35555556,"4",12.2870421290398,12.5298787724972,12.3805147647858
"150",13.4,15.67411112,61.88888889,78,"5",13.3460485196114,13.1799783396721,13.3092556214333
"151",21.6,29.59666667,60.8,78,"6",20.2441048669815,19.8918232965469,19.6801027035713
"152",22.1,30.00766667,59.73333333,78.66666667,"7",19.9940488362312,18.8747509479523,19.0672890281677
"153",17.9,24.55655556,56.24444444,80.62222222,"8",16.513616938591,16.147742228508,16.3407003116608
"154",16.8,16.78811112,50.06666667,83.68888889,"9",11.922161437273,13.162354516983,13.6958876276016
"155",18.6,13.87544445,47.08888889,85.35555556,"10",13.3130660915375,12.6153434944153,13.4989445066452
"156",19.8,11.401,42.82222222,88.26666667,"11",12.6632574307919,12.6373636484146,13.7789721393585
"157",15.8,12.66788889,40.6,89.91111111,"12",12.6684933304787,13.1881163668632,13.3935554766655
"158",14.8,11.47555556,37.91111111,91.95555556,"13",12.9329631495476,13.3827548623085,13.7000854635239
"159",20.1,12.16666667,33.26666667,95.28888889,"14",12.6241731119156,12.9475213336945,13.660727622509
"160",17.4,9.367666667,31.62222222,95.97777778,"15",10.6138278400898,9.34800754308701,11.2767877531052
"161",13.8,11.04533333,35.06666667,93.77777778,"16",14.3138349032402,12.8867742955685,14.5201681733131
"162",20.9,14.24811111,35.46666667,93.26666667,"17",15.8437510108948,15.5939228987694,16.1599474287033
"163",25,21.634,38.57777778,90.86666667,"18",23.432864689827,21.3803826618195,21.7996780347824
"164",17.8,21.67588889,54.11111111,86.02222222,"19",21.5910756778717,20.7439556026459,20.3494871926308
"165",38.4,46.284,59.33333333,85,"20",37.8067801141739,37.4340413188934,37.2664093542099
"166",46.2,53.82022222,61.26666667,83.75555556,"21",48.9760224914551,49.7771084308624,48.5529346847534
"167",20.6,27.78533334,67.11111111,79.84444444,"22",22.6926698350906,23.1024605226517,22.197605471611
"168",22.9,28.18355556,69.88888889,78.71111111,"23",20.0946426343918,20.588376967907,20.7495984816551
"169",23.8,25.74011111,69.73333333,79,"0",18.2819419956207,16.9383630418777,18.5130921602249
"170",20.5,21.03755556,70.04444444,78,"1",14.125094537735,13.8272448658943,14.960884540081
"171",23,18.916,69.55555556,78,"2",16.1482581949234,13.3289221918583,15.1859359073639
"172",14.6,14.79033334,68.57777778,78,"3",12.9990906023979,11.9430217063427,12.6394525516033
"173",14.1,13.086,67.26666667,78,"4",11.8201873993874,11.2669412207603,12.1523731970787
"174",16.3,15.69888889,66.8,78,"5",13.1750114440918,12.0675946891308,13.1083654129505
"175",19.5,28.32433333,66.73333333,77.97777778,"6",20.6034109044075,19.946776471138,19.9387853646278
"176",20.6,30.17611111,64.68888889,78.8,"7",20.2475526595116,18.8763570189476,18.9918178987503
"177",16.6,16.25,58.93333333,80.93333333,"8",12.765360250473,10.9205095505714,12.084648411274
"178",13.3,14.01066667,54.62222222,82.6,"9",9.46440434813499,9.93001832604408,10.402691411972
"179",14.8,14.12666667,49.35555556,85.68888889,"10",13.2497120523453,13.2320823645592,13.6384269452095
"180",19.9,12.62788889,43.95555556,88.68888889,"11",13.0756657958031,12.5882652759552,13.1751516723633
"181",15.7,12.30055556,41.95555556,90.13333333,"12",12.498358976841,12.9765639901161,13.3682764554024
"182",16.6,12.58577778,40.4,91.28888889,"13",12.9061386013031,13.3546194505692,13.5392575526237
"183",13.9,12.42711111,39.17777778,92.64444444,"14",13.0761009049416,13.5119119977951,13.3743142580986
"184",20,12.84477273,36.13636364,94.81818182,"15",15.5132904529572,15.0177146983147,15.6714669156075
"185",20.4,20.64066667,37.91111111,93.86666667,"16",20.3259044027328,19.4862464046478,19.4743052506447
"186",20.8,19.75211111,42.53333333,89.88888889,"18",19.5725131678581,19.029704875946,19.5618746042252
"187",25.4,30.06554348,43.95652174,88.39130435,"19",24.4335590410233,23.9604655480385,23.948488111496
"188",27,31.26088889,46,87.44444444,"20",24.2707794713974,22.5919742918015,23.4574431705475
"189",36.1,33.32477778,49,86.35555556,"21",26.7729607915878,22.7391365289688,25.8366697597504
"190",22.6,24.46197675,57.65116279,81.95348837,"22",20.6378001213074,20.5302470183372,20.8371339702606
"191",21.7,19.78255556,62.35555556,79.84444444,"23",16.4777517843246,13.8617598152161,16.0002801942825
"192",14.4,19.501,67.66666667,78.15555556,"0",15.015914182663,13.7230887532234,14.1710025238991
"193",15.2,14.48811111,69.13333333,78,"1",11.8499310803413,10.4922341358662,12.1003145360947
"194",13,16.70044445,70.42222222,77.62222222,"2",14.2515150201321,12.703367357254,13.346082392931
"195",10,12.278,69.53333333,77,"3",10.2428692650795,10.7371973443031,10.2459202563763
"196",13.7,15.93022223,69.28888889,77,"4",12.732665117979,12.9023009133339,13.2726657509804
"197",17.1,18.22766667,68.28888889,77,"5",13.2434089207649,12.5568292331696,13.564748146534
"198",21.5,24.91955556,67.11111111,77.06666667,"6",16.5262680506706,16.0697754240036,17.3415417599678
"199",20.5,29.74011111,68.26666667,77,"7",20.7989124727249,20.3840613222122,20.6294747161865
"200",19.8,30.57655556,66.86666667,77.75555556,"8",18.0796345925331,17.7837191319466,18.0283439850807
"201",16.3,27.12733334,60.95555556,80.97777778,"9",16.2478272795677,16.3318572902679,15.748920788765
"202",13.8,18.61366667,55.13333333,83.77777778,"10",14.4944874811172,14.4582779169083,13.9996561646461
"203",9.9,19.52377778,52.53333333,85.24444444,"11",16.621548371315,16.1347995638847,15.3493557024002
"204",13.3,19.07844445,46.4,88.77777778,"12",15.0927297115326,15.0960763788223,14.9503572487831
"205",15.8,16.435,42.44444444,90.51111111,"13",16.1963223791122,16.3306119346619,16.2397913408279
"206",10.6,13.87588889,39,92.66666667,"14",13.1065954208374,14.2377179169655,13.5843370819092
"207",13.1,13.626,36.62222222,93.82222222,"15",15.1707688522339,15.3284991550446,15.3450876569748
"208",18.2,15.73911111,35.82222222,93.8,"16",18.0980718541145,17.0971145915985,17.3780469560623
"209",33.9,28.82888889,39.88888889,91.17777778,"17",25.2701263284683,23.6175001192093,25.5993926382065
"210",28.5,27.1583721,55.23255814,85.41860465,"18",26.9680199718475,23.9554623770714,24.8066117811203
"211",10.6,17.75613637,69.81818182,78.52272727,"19",13.627333009243,12.9889265596867,12.3439540195465
"212",13.6,18.37733333,71.08888889,77.02222222,"20",14.8818329286575,15.0749448680878,14.8757558608055
"213",15.8,17.74133333,70.46666667,77,"21",15.4100516676903,14.737088944912,15.3094912934303
"214",13.3,15.87566667,68.4,77,"22",12.2236953008175,11.4494325911999,12.3435685503483
"215",18.4,15.807,66.84444444,77,"23",12.7920066130161,11.0655349075794,12.7380786466599
"216",13.9,16.11671717,67.08888889,77,"0",12.208054574728,12.0218042993546,12.799408121109
"217",12.6,14.34911111,67.22222222,77,"1",11.9716348624229,11.8582237148285,12.1318209147453
"218",14.4,21.56293479,67.84782609,76.34782609,"2",15.4641464471817,15.5158625221252,14.9831099319458
"219",12,14.53811111,67.86666667,76,"3",12.7513623666763,12.3497942483425,12.3211467266083
"220",7.8,13.35933334,67.68888889,76,"4",11.0934817230701,11.7208035767078,11.0525983583927
"221",12.3,19.91655556,67.88888889,75.22222222,"5",14.0158601307869,14.2027860617638,13.8321805977821
"222",17.2,23.17988889,68.22222222,75,"6",15.6685650610924,14.6508488845825,15.4369666385651
"223",21.5,34.02533334,65.62222222,76.35555556,"7",21.4506822252274,21.6101879692078,21.3766664075851
"224",21.1,26.24977778,61.57777778,78,"8",14.217832621336,14.8631980776787,15.2988014101982
"225",10.4,16.91622222,59.44444444,79.31111111,"9",12.7589944708347,13.7596114706993,13.0663912558556
"226",21.5,15.45055556,52.97777778,82.84444444,"10",12.6006828629971,12.487841578722,14.123100913763
"227",16.3,16.64955556,50.75555556,84.51111111,"11",15.1526940703392,14.4648270273209,14.9584117865562
"228",13.7,15.34611111,45.4,87.93333333,"12",13.1999531245232,12.8521807551384,13.5726136112213
"229",14.4,16.13322223,45.06666667,88.28888889,"13",14.8588153219223,15.4435210704803,15.1585713672638
"230",18.2,13.64466667,42.6,89.97777778,"14",13.292199344635,13.2079728531837,13.545912156105
"231",13.3,11.28211111,44.91111111,87.11111111,"15",14.012046251297,14.3897660398483,14.1070273923874
"232",15.6,12.52633334,47.06666667,86.33333333,"16",14.4950108671188,14.683146083355,14.8494747662544
"233",11.2,10.022,48.28888889,85.66666667,"17",11.9572605419159,12.4055371689796,11.7628637313843
"234",16,13.10455556,50.46666667,84.13333333,"18",13.9820413351059,12.7445314955711,14.1281216311455
"235",20,17.81888889,55.06666667,81.91111111,"19",17.174952685833,15.5747090864182,16.5183348226547
"236",13,16.27255556,57.15555556,80.22222222,"20",14.9653856039047,16.8237175655365,15.4984028148651
"237",13,11.48688889,59.48888889,78.55555556,"21",10.8738258051872,9.7152183675766,10.6816981840134
"238",10.4,9.776333334,62.86666667,77.73333333,"22",9.32531402468681,9.87088038384914,10.0336633491516
"239",14,12.25611112,66.42222222,77.08888889,"23",8.36814657449722,8.034641020298,9.9099050116539
"240",9.7,10.81344445,66.84444444,76.97777778,"0",9.14880494117737,8.58905535101891,9.41053784251213
"241",11.2,10.62033333,66.4,76.97777778,"1",9.47686422109604,9.32902226567268,10.0006499660015
"242",7.8,9.723320707,66.13636364,76.09090909,"2",8.24433285653591,8.20022881984711,8.14060238957405
"243",12.6,13.09239131,66.86956522,76.04347826,"3",11.3538414728642,11.4047590076923,11.4714593303204
"244",13.3,15.05928572,67,76,"4",12.4161041784287,12.6646108603477,12.7314065599442
"245",13,16.46511111,67.26666667,75.17777778,"5",11.9937319493294,12.0763087177277,12.5063981318474
"246",17.1,24.24011111,67.57777778,75.08888889,"6",16.0109442472458,16.6014733338356,16.8516690444946
"247",26.2,33.68566667,65.68888889,76,"7",21.6302268433571,20.1965683627129,21.387463965416
"248",14.5,23.50077778,62.66666667,77.15555556,"8",15.1574203205109,14.6029437041283,14.6356024312973
"249",16.9,19.38744445,55.06666667,80.84444444,"9",13.9150206768513,13.7824066400528,14.3152283787727
"250",15.3,19.82611111,54.22222222,81.31111111,"10",15.1366610121727,15.1258569979668,14.6017780327797
"251",15.9,21.103,50.6,83.53333333,"11",19.5000136756897,16.3864226603508,16.5679377484322
"252",18.1,20.09522222,46.57777778,85.97777778,"12",16.2358134126663,15.6117115616798,15.8902348065376
"253",19.7,16.853,45.95555556,86.68888889,"13",17.1142456293106,16.6512739729881,16.9124709153175
"254",18,16.98011112,48.91111111,84.82222222,"14",15.7100123786926,15.2502920293808,15.7024044680595
"255",14.6,11.17777778,48.84444444,84.26666667,"15",13.3543687403202,13.614727575779,13.8087328219414
"256",17.9,13.77144445,48.08888889,84.77777778,"16",14.6029881978035,14.5450792241096,14.8592440605164
"257",15.7,14.41715909,49.54545455,83.38636364,"17",14.428437230587,15.431565861702,15.2775899791718
"258",17.3,20.58457265,56.25,80.55555556,"18",16.1444277477264,17.5443547296524,17.6339715337753
"259",17.7,18.80637561,56,79.21621622,"19",16.6742462348938,16.5280468177795,16.6644811558723
"260",16.2,20.70877632,64.94736842,77.15789474,"20",17.1726836419106,17.8561691212654,18.296580092907
"261",20.3,18.75069491,72,75.30232558,"21",15.2844008398056,14.8588495779037,15.9299900817871
"262",9.2,15.37917283,74.15909091,74.11363636,"22",11.1311342632771,10.0514934098721,9.9680360531807
"263",7.6,14.52431818,74.06818182,73.97727273,"23",10.9231988251209,10.833468503952,9.74812183141708
"264",10.3,14.81431722,74.78378378,73.16216216,"0",10.4576808261871,10.4427192473412,10.1733390474319
"265",13.6,17.22813044,74.65217391,72.56521739,"1",12.4450735461712,11.6618901264668,12.2503281521797
"266",6.4,20.28208276,60.48,79.48,"10",13.6226573097706,14.6464015221596,13.5583148014545
"267",24,20.7164795,55.45454545,81.48484848,"11",19.1235366988182,15.6862130570412,16.7598972892761
"268",20.9,20.20914502,51.23809524,83.5,"12",16.1070246756077,15.0802908039093,15.5445743191242
"269",27.4,19.5145303,46.54545455,85.84090909,"13",16.8619489526749,16.147547647953,17.5356886363029
"270",28.7,20.88322223,46.11111111,85.73333333,"14",21.4247784495354,18.8032668757439,19.5771438384056
"271",20.4,19.326,47.95555556,84.26666667,"15",17.6052680206299,17.1282936644554,18.1635821151733
"272",19.5,15.17,49.33333333,84.4,"16",14.2391211724281,14.3775485181808,15.3237071037292
"273",25.6,20.66933334,51.33333333,82.84444444,"17",19.7478359246254,19.9690983080864,20.5840245723724
"274",30,27.74811111,52.82222222,81.97777778,"18",26.7664337444305,24.2395136165619,25.6468059587479
"275",23,26.22722222,59.91111111,79.53333333,"19",23.2979231834412,23.4294434022903,23.4149689340591
"276",23.4,28.86555556,64.6,77.71111111,"20",21.5985520911217,21.7699391555786,22.2833608579636
