"","BAM","PA_CF_ATM","PA_RH","PA_Temp","hour","RF"
"36",14.1,16.25344445,34.8,93,"11",14.166
"37",16.6,15.83333333,31.71111111,94.93333333,"12",14.116
"38",13.5,11.64188889,28.02222222,97.88888889,"13",12.667
"39",19.2,13.93411111,29.31111111,97.6,"14",16.8415
"40",19,18.17022222,30.42222222,95.95555556,"15",13.7345
"41",17.1,15.02077778,28.93333333,96.66666667,"16",15.8085
"42",21.1,15.11644445,30.26666667,95.31111111,"17",17.864
"43",17.3,16.92488889,47.6,87.68888889,"18",18.2815
"44",19,23.14155556,56.37777778,82.97777778,"19",20.344
"45",25.4,25.97544445,52.86666667,83,"20",25.7275
"46",19.3,18.62266667,50.55555556,83,"21",18.7775
"47",15.7,18.33377778,53.84444444,81.97777778,"22",16.517
"48",12.4,16.00177778,54.62222222,81,"23",15.332
"49",13.8,15.27511364,55.02272727,80.56818182,"0",13.8855
"50",19.1,15.86844444,56.42222222,79.71111111,"1",16.5465
"51",11.3,12.61311111,59.08888889,78.64444444,"2",10.928
"52",15.2,12.59211111,60.84444444,78,"3",10.795
"53",10.5,10.23711112,60.57777778,78.08888889,"4",9.637
"54",13.6,13.99144445,62.11111111,77.55555556,"5",12.96
"55",17.5,24.21722223,64.13333333,77.11111111,"6",16.9
"56",21.7,29.986,63.06666667,78.04444444,"7",18.7235
"57",21.7,28.78233334,58.86666667,80.02222222,"8",20.6775
"58",23.7,23.24177778,49.42222222,85.4,"9",20.409
"59",14,22.58411111,47.6,86.33333333,"10",16.0135
"60",17.5,19.94966667,41.33333333,90.33333333,"11",16.814
"61",13.1,15.37455556,38.64444444,91.46666667,"12",13.693
"62",15.4,16.29566667,35.13333333,94.24444444,"13",15.87
"63",20.7,15.20822223,31.71111111,96.2,"14",17.522
"64",21.7,17.92111111,32.04444444,96.13333333,"15",18.308
"65",24.8,20.005,32.17777778,95.88888889,"16",21.107
"66",23.7,19.12022223,34.26666667,93.4,"17",21.443
"67",26.9,30.39622223,36.91111111,91.35555556,"18",25.4805
"68",22.4,25.33944445,40.88888889,88.88888889,"19",22.2495
"69",21.9,18.92688889,47.13333333,85.4,"20",18.656
"70",12.1,16.91133334,55.51111111,81.15555556,"21",14.113
"71",20.5,21.99188889,57.82222222,81.68888889,"22",20.7205
"72",17.8,16.78611111,55.22222222,82.28888889,"23",16.8105
"73",16.2,16.58966667,54.77777778,81.42222222,"0",15.3485
"74",12.5,13.48188889,58.95555556,80.2,"1",12.153
"75",12.3,12.95066667,61.04444444,78.84444444,"2",11.471
"76",11.4,13.21277778,61.55555556,78.11111111,"3",10.998
"77",11.4,12.43930233,63.62790698,77.72093023,"4",10.8995
"78",13.1,17.01207318,64.92682927,77,"5",11.913
"79",14.7,22.23033334,64.53333333,77.24444444,"6",14.937
"80",17.4,31.37244445,64.22222222,78.15555556,"7",18.5225
"81",20,31.68122222,58.93333333,80.44444444,"8",21.5575
"82",17.8,21.75266667,49.46666667,85.24444444,"9",18.3745
"83",17.8,17.27866667,44.11111111,87.95555556,"10",16.6195
"84",14.4,16.34611111,40.8,89,"11",15.1885
"85",17.2,15.83633334,36.02222222,91.66666667,"12",15.2565
"86",14.3,15.95966667,34.11111111,92.68888889,"13",14.3595
"87",21.2,16.41522222,30,94.95555556,"14",18.064
"88",16.4,13.59904762,29.66666667,94.95238095,"15",15.2595
"89",20,15.55166667,31.11111111,94.26666667,"16",16.5935
"90",21.7,19.70466667,34.22222222,91.82222222,"17",20.4495
"91",27.8,21.00333334,37.53333333,90.26666667,"18",24.109
"92",8.2,12.38582126,49.2826087,83.52173913,"19",11.1385
"93",9.9,14.03010606,51.84444444,80.77777778,"20",11.6925
"94",10.3,10.62988889,57.15555556,80,"21",10.885
"95",9.8,10.30055556,57.04444444,80,"22",10.8075
"96",14.4,13.02844445,57.24444444,79.97777778,"23",12.2985
"97",13.4,14.83,58.08888889,79.17777778,"0",11.9845
"98",17.7,18.03055556,60.06666667,78.86666667,"1",16.1475
"99",14.1,16.70544445,61.8,78,"2",14.3795
"100",11.3,15.55433333,63.84444444,77.26666667,"3",13.128
"101",12.7,18.25955556,64.93333333,76.97777778,"4",11.812
"102",14.4,22.39488889,65.91111111,76.44444444,"5",14.34
"103",21.7,28.67777778,64.48888889,77,"6",18.8995
"104",25.4,33.69322222,62.57777778,77.35555556,"7",23.088
"105",18.1,24.33877778,56.73333333,80.8,"8",17.6315
"106",21.3,20.84435354,48.5,85.09090909,"9",18.933
"107",15.2,18.50733333,45.53333333,86.24444444,"10",15.807
"108",17.5,11.97733334,39.15555556,90.4,"11",14.943
"109",17.2,13.69333333,34.97777778,93.08888889,"12",13.3395
"110",18.7,18.96966667,34.11111111,93.86666667,"13",15.9675
"111",16.7,14.11077778,32.75555556,94.51111111,"14",15.62
"112",11.8,10.07115217,31.52173913,96,"15",9.25550000000001
"113",14.1,9.530666667,30.17777778,96.8,"16",11.857
"114",12.3,12.25155556,33.66666667,94.37777778,"17",14.686
"115",12.2,13.66766667,38.35555556,91,"18",14.486
"116",21.2,21.257,43.11111111,88.55555556,"19",21.44
"117",10.5,13.86466667,54.8,82.31111111,"20",13.8015
"118",13.6,16.67844445,61.37777778,80.37777778,"21",14.2765
"119",16.2,17.53122223,61.68888889,80,"22",15.485
"120",19.7,24.52866667,63.75555556,79.55555556,"23",19.2325
"121",17.3,21.09761364,64.75,79,"0",16.462
"122",16.6,19.15044445,64.62222222,78.37777778,"1",15.5665
"123",15.5,17.113,64.77777778,77.24444444,"2",11.8195
"124",17.4,22.86611111,65.08888889,77.17777778,"3",14.2415
"125",19.2,21.17922223,64.66666667,77.06666667,"4",14.3465
"126",21.1,25.50945652,64.80434783,76.97826087,"5",15.473
"127",25.7,31.18211111,64.91111111,76.95555556,"6",18.8915
"128",30.8,41.35566667,63.2,77.53333333,"7",28.5515
"129",26.4,35.14011111,57.08888889,80.71111111,"8",22.149
"130",14.3,22.57077778,51.68888889,83.53333333,"9",15.839
"131",14.4,17.275,44.28888889,88.11111111,"10",15.0345
"132",14.2,16.09911111,38.44444444,91.6,"11",14.143
"133",18.2,18.74311112,34.71111111,94.02222222,"12",12.893
"134",18.3,16.82922222,32.8,95.68888889,"13",14.914
"135",18.8,14.82755556,32.06666667,95.88888889,"14",16.895
"136",20.6,16.30866107,33.2173913,94.7826087,"15",17.553
"137",19,18.513,33.71111111,93.97777778,"16",18.5445
"138",25.3,19.34622222,35.55555556,92.66666667,"17",22.278
"139",24.3,22.16966667,43.97777778,87.51111111,"18",21.8505
"140",16.9,19.86749472,51.06818182,83.40909091,"19",18.0855
"141",31.8,26.09644445,55.86666667,82.95555556,"20",24.6775
"142",29.1,28.42233334,64.15555556,79.97777778,"21",26.38
"143",25.5,28.79666667,65.26666667,79.88888889,"22",24.635
"144",26.8,26.19144445,63.93333333,79.55555556,"23",22.221
"145",25.1,29.253,63.95555556,79.02222222,"0",19.843
"146",18.7,20.44744445,63.48888889,78.42222222,"1",16.5475
"147",13.4,15.52877778,61.97777778,78.95555556,"2",13.455
"148",12.5,16.06266667,60.82222222,79,"3",14.0855
"149",12.5,13.52866667,60.68888889,78.35555556,"4",11.288
"150",13.4,15.67411112,61.88888889,78,"5",13.4005
"151",21.6,29.59666667,60.8,78,"6",19.2575
"152",22.1,30.00766667,59.73333333,78.66666667,"7",18.4625
"153",17.9,24.55655556,56.24444444,80.62222222,"8",17.6795
"154",16.8,16.78811112,50.06666667,83.68888889,"9",14.8845
"155",18.6,13.87544445,47.08888889,85.35555556,"10",14.9995
"156",19.8,11.401,42.82222222,88.26666667,"11",16.8785
"157",15.8,12.66788889,40.6,89.91111111,"12",14.29
"158",14.8,11.47555556,37.91111111,91.95555556,"13",14.6475
"159",20.1,12.16666667,33.26666667,95.28888889,"14",15.612
"160",17.4,9.367666667,31.62222222,95.97777778,"15",10.487
"161",13.8,11.04533333,35.06666667,93.77777778,"16",14.1555
"162",20.9,14.24811111,35.46666667,93.26666667,"17",18.174
"163",25,21.634,38.57777778,90.86666667,"18",23.774
"164",17.8,21.67588889,54.11111111,86.02222222,"19",19.9975
"165",38.4,46.284,59.33333333,85,"20",35.9835
"166",46.2,53.82022222,61.26666667,83.75555556,"21",47.9125
"167",20.6,27.78533334,67.11111111,79.84444444,"22",22.65
"168",22.9,28.18355556,69.88888889,78.71111111,"23",22.1475
"169",23.8,25.74011111,69.73333333,79,"0",20.1115
"170",20.5,21.03755556,70.04444444,78,"1",18.139
"171",23,18.916,69.55555556,78,"2",18.637
"172",14.6,14.79033334,68.57777778,78,"3",12.833
"173",14.1,13.086,67.26666667,78,"4",10.4525
"174",16.3,15.69888889,66.8,78,"5",14.036
"175",19.5,28.32433333,66.73333333,77.97777778,"6",18.4005
"176",20.6,30.17611111,64.68888889,78.8,"7",19.3135
"177",16.6,16.25,58.93333333,80.93333333,"8",13.6405
"178",13.3,14.01066667,54.62222222,82.6,"9",12.6945
"179",14.8,14.12666667,49.35555556,85.68888889,"10",14.1815
"180",19.9,12.62788889,43.95555556,88.68888889,"11",13.9465
"181",15.7,12.30055556,41.95555556,90.13333333,"12",14.279
"182",16.6,12.58577778,40.4,91.28888889,"13",14.2125
"183",13.9,12.42711111,39.17777778,92.64444444,"14",13.671
"184",20,12.84477273,36.13636364,94.81818182,"15",17.5235
"185",20.4,20.64066667,37.91111111,93.86666667,"16",21.7585
"186",20.8,19.75211111,42.53333333,89.88888889,"18",20.3085
"187",25.4,30.06554348,43.95652174,88.39130435,"19",25.55
"188",27,31.26088889,46,87.44444444,"20",24.8495
"189",36.1,33.32477778,49,86.35555556,"21",31.113
"190",22.6,24.46197675,57.65116279,81.95348837,"22",19.781
"191",21.7,19.78255556,62.35555556,79.84444444,"23",19.1875
"192",14.4,19.501,67.66666667,78.15555556,"0",15.0965
"193",15.2,14.48811111,69.13333333,78,"1",12.656
"194",13,16.70044445,70.42222222,77.62222222,"2",13.5195
"195",10,12.278,69.53333333,77,"3",9.5595
"196",13.7,15.93022223,69.28888889,77,"4",13.498
"197",17.1,18.22766667,68.28888889,77,"5",15.12
"198",21.5,24.91955556,67.11111111,77.06666667,"6",19.6785
"199",20.5,29.74011111,68.26666667,77,"7",20.2915
"200",19.8,30.57655556,66.86666667,77.75555556,"8",19.6645
"201",16.3,27.12733334,60.95555556,80.97777778,"9",16.676
"202",13.8,18.61366667,55.13333333,83.77777778,"10",13.7225
"203",9.9,19.52377778,52.53333333,85.24444444,"11",12.581
"204",13.3,19.07844445,46.4,88.77777778,"12",13.95
"205",15.8,16.435,42.44444444,90.51111111,"13",17.422
"206",10.6,13.87588889,39,92.66666667,"14",13.0125
"207",13.1,13.626,36.62222222,93.82222222,"15",13.553
"208",18.2,15.73911111,35.82222222,93.8,"16",18.79
"209",33.9,28.82888889,39.88888889,91.17777778,"17",28.9505
"210",28.5,27.1583721,55.23255814,85.41860465,"18",21.7055
"211",10.6,17.75613637,69.81818182,78.52272727,"19",11.9065
"212",13.6,18.37733333,71.08888889,77.02222222,"20",15.1805
"213",15.8,17.74133333,70.46666667,77,"21",15.829
"214",13.3,15.87566667,68.4,77,"22",13.2635
"215",18.4,15.807,66.84444444,77,"23",15.0125
"216",13.9,16.11671717,67.08888889,77,"0",13.3265
"217",12.6,14.34911111,67.22222222,77,"1",12.7905
"218",14.4,21.56293479,67.84782609,76.34782609,"2",15.817
"219",12,14.53811111,67.86666667,76,"3",11.768
"220",7.8,13.35933334,67.68888889,76,"4",9.61299999999999
"221",12.3,19.91655556,67.88888889,75.22222222,"5",13.599
"222",17.2,23.17988889,68.22222222,75,"6",15.5665
"223",21.5,34.02533334,65.62222222,76.35555556,"7",21.213
"224",21.1,26.24977778,61.57777778,78,"8",18.1675
"225",10.4,16.91622222,59.44444444,79.31111111,"9",12.7185
"226",21.5,15.45055556,52.97777778,82.84444444,"10",16.4795
"227",16.3,16.64955556,50.75555556,84.51111111,"11",14.004
"228",13.7,15.34611111,45.4,87.93333333,"12",13.853
"229",14.4,16.13322223,45.06666667,88.28888889,"13",15.091
"230",18.2,13.64466667,42.6,89.97777778,"14",16.4415
"231",13.3,11.28211111,44.91111111,87.11111111,"15",14.487
"232",15.6,12.52633334,47.06666667,86.33333333,"16",13.5365
"233",11.2,10.022,48.28888889,85.66666667,"17",11.2935
"234",16,13.10455556,50.46666667,84.13333333,"18",14.4215
"235",20,17.81888889,55.06666667,81.91111111,"19",14.9425
"236",13,16.27255556,57.15555556,80.22222222,"20",14.8975
"237",13,11.48688889,59.48888889,78.55555556,"21",11.1495
"238",10.4,9.776333334,62.86666667,77.73333333,"22",9.6315
"239",14,12.25611112,66.42222222,77.08888889,"23",11.9795
"240",9.7,10.81344445,66.84444444,76.97777778,"0",9.46250000000001
"241",11.2,10.62033333,66.4,76.97777778,"1",10.849
"242",7.8,9.723320707,66.13636364,76.09090909,"2",8.07999999999999
"243",12.6,13.09239131,66.86956522,76.04347826,"3",12.1485
"244",13.3,15.05928572,67,76,"4",12.9755
"245",13,16.46511111,67.26666667,75.17777778,"5",12.8775
"246",17.1,24.24011111,67.57777778,75.08888889,"6",16.706
"247",26.2,33.68566667,65.68888889,76,"7",23.964
"248",14.5,23.50077778,62.66666667,77.15555556,"8",15.1375
"249",16.9,19.38744445,55.06666667,80.84444444,"9",16.234
"250",15.3,19.82611111,54.22222222,81.31111111,"10",16.594
"251",15.9,21.103,50.6,83.53333333,"11",17.3185
"252",18.1,20.09522222,46.57777778,85.97777778,"12",17.2315
"253",19.7,16.853,45.95555556,86.68888889,"13",18.376
"254",18,16.98011112,48.91111111,84.82222222,"14",16.298
"255",14.6,11.17777778,48.84444444,84.26666667,"15",13.9305
"256",17.9,13.77144445,48.08888889,84.77777778,"16",16.0505
"257",15.7,14.41715909,49.54545455,83.38636364,"17",13.8835
"258",17.3,20.58457265,56.25,80.55555556,"18",16.801
"259",17.7,18.80637561,56,79.21621622,"19",16.0815
"260",16.2,20.70877632,64.94736842,77.15789474,"20",17.1945
"261",20.3,18.75069491,72,75.30232558,"21",18.035
"262",9.2,15.37917283,74.15909091,74.11363636,"22",9.94350000000001
"263",7.6,14.52431818,74.06818182,73.97727273,"23",9.095
"264",10.3,14.81431722,74.78378378,73.16216216,"0",10.013
"265",13.6,17.22813044,74.65217391,72.56521739,"1",13.031
"266",6.4,20.28208276,60.48,79.48,"10",13.932
"267",24,20.7164795,55.45454545,81.48484848,"11",19.394
"268",20.9,20.20914502,51.23809524,83.5,"12",18.2985
"269",27.4,19.5145303,46.54545455,85.84090909,"13",16.9895
"270",28.7,20.88322223,46.11111111,85.73333333,"14",23.119
"271",20.4,19.326,47.95555556,84.26666667,"15",19.4115
"272",19.5,15.17,49.33333333,84.4,"16",16.2825
"273",25.6,20.66933334,51.33333333,82.84444444,"17",21.4445
"274",30,27.74811111,52.82222222,81.97777778,"18",27.2435
"275",23,26.22722222,59.91111111,79.53333333,"19",22.85
"276",23.4,28.86555556,64.6,77.71111111,"20",22.739
"277",24.6,29.42822222,65.44444444,77,"21",23.013
"278",22.3,26.44577778,63.88888889,76.97777778,"22",21.0505
"279",15.9,16.78344445,62.62222222,76.08888889,"23",14.933
"280",16.6,17.16788889,64.28888889,75.51111111,"0",15.201
"281",15.5,14.95244445,65.91111111,75.04444444,"1",13.789
"282",16.4,22.85533334,67.4,74.71111111,"2",15.116
"283",15,21.85088889,68.06666667,74.24444444,"3",16.395
"284",18.8,29.34022223,69.15555556,74,"4",19.17
"285",20.1,27.352,70,74,"5",18.8835
"286",22.4,32.95622222,69.82222222,74.06666667,"6",21.9875
"287",28.8,39.11211111,67.64444444,75.24444444,"7",25.3505
"288",23.8,34.30021739,62.82608696,77.32608696,"8",21.942
"289",19.7,28.13533334,57.33333333,80.22222222,"9",17.9
"290",18.4,23.22355556,50.51111111,84.17777778,"10",17.972
"291",16.9,18.46811111,44.37777778,87.97777778,"11",17.238
"292",21.3,19.42322223,40.02222222,91.06666667,"12",17.2545
"293",18.1,17.54911111,37.82222222,92.66666667,"13",17.551
"294",19.1,17.50088889,35.22222222,94.86666667,"14",17.1925
"295",18.4,16.21666667,33.22222222,96.13333333,"15",17.581
"296",24.8,19.91577778,34.84444444,94.22222222,"16",22.524
"297",25.4,21.58422223,38.82222222,91.04444444,"17",23.9185
"298",25.3,24.90711112,46.28888889,86.91111111,"18",22.8185
"299",26.3,26.95377778,52.8,84.06666667,"19",24.9055
"300",24.9,26.17766667,54.35555556,83.62222222,"20",24.0215
"301",24.2,24.83344445,56,82.64444444,"21",18.685
"302",24.2,28.96277778,58,81.46666667,"22",23.959
"303",15.2,15.61377778,58.15555556,80.31111111,"23",14.479
"304",10.6,12.964,59.33333333,80,"0",10.8665
"305",14.4,16.36288889,61.95555556,80,"1",14.5655
"306",8.6,12.95788889,63.02222222,79.04444444,"2",9.2975
"307",16.5,17.63355556,64.37777778,78.31111111,"3",14.773
"308",17.8,19.72233334,64.95555556,77.91111111,"4",16.1435
"309",18.5,19.715,65.31111111,77.04444444,"5",15.8015
"310",21.7,24.60522223,64.8,77,"6",18.267
"311",20.9,26.75977778,64.13333333,77.42222222,"7",17.7615
"312",12.6,21.63888889,60.2,79.55555556,"8",15.018
"313",14.9,17.57211112,55.53333333,82.08888889,"9",13.55
"314",14.5,15.03255556,51.2,84.44444444,"10",14.0145
"315",12.7,14.37033334,46.91111111,87.2,"11",12.9765
"316",15.7,14.93755556,42,90.22222222,"12",15.0595
"317",17.9,16.42147727,42.06818182,90.13636364,"13",17.2085
"318",17.3,14.73844445,42.42222222,89.84444444,"14",16.3845
"319",18.9,12.63688889,38.95555556,91.97777778,"15",16.575
"320",22.8,15.77711111,38.17777778,92.15555556,"16",20.219
"321",19,15.13064785,45.97619048,87.33333333,"17",16.5705
"322",28.1,26.70522222,53.06666667,84.2,"18",25.2475
"323",10.6,17.08222222,67.11111111,79.42222222,"19",12.0405
"324",20,22.41044445,70.51111111,78,"20",18.5175
"325",16.2,19.40322222,69.55555556,78.13333333,"21",15.2745
"326",22.9,20.29388889,69.66666667,77.88888889,"22",19.289
"327",22.4,26.02288889,70.88888889,77.48888889,"23",21.292
"328",22.3,26.92133333,69.44444444,77.35555556,"0",19.8585
"329",20.9,27.16059091,67.88636364,77,"1",18.118
"330",21.1,26.5789757,68.40625,76.34375,"2",17.198
"331",21.8,28.63134146,69.51219512,75.85365854,"3",20.2005
"332",20.4,31.86653534,70.30769231,75.20512821,"4",19.5215
"333",26,36.13921053,70.97368421,75,"5",25.389
"334",35.8,47.67388742,70.46511628,75,"6",34.42
"335",38.9,48.47489611,69.57575758,75.96969697,"7",35.7365
"336",26.7,40.46630031,68.35294118,76.29411765,"8",26.017
"337",27.9,37.11179546,66.6,77.6,"9",25.2565
"338",22.8,31.70622223,63.93333333,78.82222222,"10",21.025
"339",13.9,20.72733334,56.57777778,80.6,"11",16.763
"340",13.2,12.52933333,47.35555556,83.6,"12",12.489
"341",11.9,8.909589286,43.925,84.725,"13",10.364
"342",10.2,6.37275,41.90625,86,"14",8.422
"343",13.7,8.784722222,42.125,85.35,"15",11.7005
"344",11.9,8.958857143,45.71428571,83.57142857,"16",11.2885
"345",18.3,15.58640476,46.28571429,82.37142857,"17",17.404
"346",21,17.02494643,50.625,80.625,"18",19.1955
"347",14.5,17.73135773,54.55882353,78.91176471,"19",15.282
"348",23.8,23.80470966,57.23529412,78.47058824,"20",21.599
"349",22.5,22.60033333,59.27777778,78.02777778,"21",19.8645
"350",20.5,23.57234015,60.56756757,77.45945946,"22",19.3705
"351",19.2,22.80002381,62.69047619,76.66666667,"23",18.7085
"352",14.5,16.33017073,63.42857143,76.05714286,"0",13.924
"353",10.3,11.5499008,64.02777778,75.52777778,"1",9.827
"354",9.3,13.18570205,67.21621622,74.89189189,"2",10.3485
"355",17.3,19.61540476,68.85714286,74.8,"3",14.832
"356",15.6,18.29699662,68.91891892,74.91891892,"4",14.299
"357",23.1,25.40914439,69.02941176,74.5,"5",17.2165
"358",24.5,32.26025794,70.36111111,74,"6",22.293
"359",27.9,38.08267733,68.45,75.15,"7",26.45
"360",18.5,24.19889113,61.84375,78.09375,"8",17.6215
"361",20.4,16.90202067,51.93023256,82.74418605,"9",14.685
"362",23.3,17.28488889,46.51111111,85.62222222,"10",17.561
"363",23.6,18.597,41.75555556,88.28888889,"11",19.2075
"364",23.2,16.928,38.15555556,90.06666667,"12",19.8305
"365",17.3,13.79550325,38.5952381,89.97619048,"13",15.561
"366",20.5,14.20425,37.97058824,90,"14",17.654
"367",24.8,15.56783876,37.5,89.75,"15",16.027
"368",21.4,13.28316667,36.33333333,89.15151515,"16",14.9735
"369",22.2,18.27574695,49.85,84.8,"17",19.3005
"370",25.7,26.17673203,57.83333333,81.77777778,"18",24.0015
"371",21.5,23.40680837,55.55263158,80.76315789,"19",19.8045
"372",21.8,22.01474359,55.8974359,79.58974359,"20",20.3275
"373",23.8,24.06440192,56.97368421,79,"21",21.582
"374",21,24.33303846,59.9,78.06666667,"22",18.9595
"375",13.2,19.14924328,62.71794872,77,"23",15.7625
"376",13.7,17.535,64.11111111,76.08333333,"0",13.891
"377",13.5,17.01556819,64.90909091,76,"1",12.4905
"378",16.1,18.544,65.2,75.64444444,"2",12.6695
"379",16.1,17.54028067,65.72972973,74.97297297,"3",13.105
"380",13.1,18.66677034,66.86842105,74,"4",13.3345
"381",15.5,27.04004293,68.22222222,74.57777778,"5",17.789
"382",19.8,33.03466667,68.8,74.46666667,"6",20.655
"383",18.9,32.24575,67.7,75,"7",21.2995
"384",15.8,30.7866656,64.89473684,76.13157895,"8",18.159
"385",21.1,28.71952381,59.2,78.975,"9",19.882
"386",22,22.51604735,52.47058824,81.97058824,"10",17.8245
"387",19.8,22.77842986,50.64864865,82.97297297,"11",18.7895
"388",26.4,21.40636466,46.07894737,85.57894737,"12",23.0865
"389",15.8,17.14325,42.725,87.625,"13",17.47
"390",13.4,15.90466667,46.55555556,86.35555556,"14",14.022
"391",25.9,18.00866667,42.91111111,87.93333333,"15",21.988
"392",12.1,19.22922222,56.46666667,82.82222222,"16",13.2005
"393",20.1,18.37855556,60.46666667,80.08888889,"17",14.158
"394",15.3,20.5074673,65.15625,78,"18",14.523
"395",23.4,28.37449147,64.5,78.10526316,"19",23.466
"396",19.1,28.37563514,64.13513514,79,"20",21.312
"397",27.1,29.05007143,63.85714286,78.54285714,"21",24.4435
"398",26.6,30.98312903,61.87096774,77.96774194,"22",23.0015
"399",20.3,21.60190597,56.58408409,80.28378379,"23",19.7905
"400",16.3,17.59187984,56.6627907,79.9883721,"0",16.3715
"401",15.7,16.43571994,57.64864865,79.5,"1",15.852
"402",17.9,16.77433334,58.06666667,79.5,"2",17.088
"403",20.8,17.13666667,58.61111111,79.5,"3",18.3165
"404",15.1,18.35305556,59.18888889,79.5,"4",15.1475
"405",21.8,20.74566667,59.93333334,79.22222222,"5",17.492
"406",23.4,23.68331304,60.05555556,79.01724138,"6",19.338
"407",31.1,29.13168056,60.62222223,79.5,"7",24.9355
"408",26.3,27.7962587,59.82538803,79.80404656,"8",21.0775
"409",17.1,22.49403409,55.56313131,81.93055556,"9",16.2355
"410",20,19.30153006,54.66023823,82.96341464,"10",17.0335
"411",18.9,14.66619612,51.22214854,82.97612732,"11",14.6335
"412",20.4,16.31403027,49.44107143,84.03392857,"12",16.7795
"413",22.6,17.9854191,49.19436091,84.31541354,"13",15.74
"414",24,17.34618232,46.93421053,85.69736842,"14",19.596
"415",20.1,16.34750297,45.82954546,85.43181818,"15",17.8945
"416",14.2,16.86235539,46.51162791,84.97674419,"16",19.419
"417",24.2,17.78773665,47.05555556,84.5,"17",21.8755
"418",20.7,17.37908196,51.66666667,82.80769231,"18",18.7585
"419",22,17.79451664,51.39426878,81.79545455,"19",17.7545
"420",22.3,15.00748077,52.93333334,80.96666667,"20",11.92
"421",19.1,17.00077778,57.03333334,79.075,"21",16.8185
"422",18.2,14.30997349,55.70050506,80.06136364,"22",15.6215
"423",17.4,19.05077778,61.4,77,"23",16.4145
"424",12.9,16.03022223,62.33333333,76.44444444,"0",13.3645
"425",15.9,15.65211112,63.4,75.68888889,"1",15.202
"426",16.1,15.54,64.82222222,75,"2",11.657
"427",15.2,18.00477778,65.46666667,75,"3",12.765
"428",16.3,19.91422222,66.13333333,74.46666667,"4",15.044
"429",18.4,24.43544445,66.97777778,74,"5",18.125
"430",21.6,31.25444445,66.62222222,74.37777778,"6",19.511
"431",27.5,42.56477778,65.04444444,75.37777778,"7",26.8045
"432",24.2,33.19833334,61.51111111,77.02222222,"8",16.6935
"433",13.6,22.26877778,56.88888889,79.35555556,"9",14.3045
"434",18,20.01655556,51.71111111,81.86666667,"10",16.3145
"435",21.3,25.74877778,48.15555556,83.86666667,"11",19.44
"436",21.1,21.85644445,46.44444444,84.57777778,"12",20.8165
"437",14.8,15.72855556,43.35555556,86.4,"13",15.0365
"438",14.1,12.95055556,41.37777778,87.64444444,"14",14.255
"439",15.6,12.82311111,41.31111111,87.97777778,"15",14.968
"440",17.4,14.67602273,42.97727273,86.29545455,"16",16.149
"441",15.2,14.876,46.66666667,83.71111111,"17",14.613
"442",22.1,21.989,48.97777778,82.08888889,"18",21.192
"443",24.9,25.68044445,51.22222222,81,"19",22.8695
"444",30.8,32.36953283,51.75555556,80.11111111,"20",30.632
"445",20.7,27.09655556,53.91111111,79.17777778,"21",21.6505
"446",23.6,27.60034091,56.77272727,77.77272727,"22",22.492
"447",23.2,29.77288889,60.55555556,76.91111111,"23",21.018
"448",19.3,23.93244445,62.11111111,76,"0",17.746
