"","BAM","PA_CF_ATM","PA_RH","PA_Temp","hour","h2o_nn"
"81",20,31.68122222,58.93333333,80.44444444,"8",17.3585907135185
"82",17.8,21.75266667,49.46666667,85.24444444,"9",15.9517846462922
"83",17.8,17.27866667,44.11111111,87.95555556,"10",14.4492095974729
"84",14.4,16.34611111,40.8,89,"11",15.5520418402742
"85",17.2,15.83633334,36.02222222,91.66666667,"12",16.1853124007455
"86",14.3,15.95966667,34.11111111,92.68888889,"13",16.9837125530364
"87",21.2,16.41522222,30,94.95555556,"14",17.208232771473
"88",16.4,13.59904762,29.66666667,94.95238095,"15",17.2146534950084
"89",20,15.55166667,31.11111111,94.26666667,"16",19.1824510606578
"90",21.7,19.70466667,34.22222222,91.82222222,"17",21.9717102893379
"91",27.8,21.00333334,37.53333333,90.26666667,"18",21.8062303740727
"92",8.2,12.38582126,49.2826087,83.52173913,"19",16.5040637774828
"93",9.9,14.03010606,51.84444444,80.77777778,"20",16.1524588545284
"94",10.3,10.62988889,57.15555556,80,"21",12.9047388265178
"95",9.8,10.30055556,57.04444444,80,"22",13.8380651218796
"96",14.4,13.02844445,57.24444444,79.97777778,"23",13.2393100564028
"97",13.4,14.83,58.08888889,79.17777778,"0",14.095110232795
"98",17.7,18.03055556,60.06666667,78.86666667,"1",14.3006231973847
"99",14.1,16.70544445,61.8,78,"2",13.1249137498585
"100",11.3,15.55433333,63.84444444,77.26666667,"3",12.3873498020184
"101",12.7,18.25955556,64.93333333,76.97777778,"4",13.9090484299074
"102",14.4,22.39488889,65.91111111,76.44444444,"5",16.5331319540984
"103",21.7,28.67777778,64.48888889,77,"6",19.1855094141485
"104",25.4,33.69322222,62.57777778,77.35555556,"7",24.4346889269544
"105",18.1,24.33877778,56.73333333,80.8,"8",15.1059801253706
"106",21.3,20.84435354,48.5,85.09090909,"9",15.5232862494482
"107",15.2,18.50733333,45.53333333,86.24444444,"10",15.0860010944185
"108",17.5,11.97733334,39.15555556,90.4,"11",13.309989259917
"109",17.2,13.69333333,34.97777778,93.08888889,"12",15.1463756888311
"110",18.7,18.96966667,34.11111111,93.86666667,"13",18.2920045398784
"111",16.7,14.11077778,32.75555556,94.51111111,"14",15.8701104910416
"112",11.8,10.07115217,31.52173913,96,"15",14.9549402589856
"113",14.1,9.530666667,30.17777778,96.8,"16",16.147520643831
"114",12.3,12.25155556,33.66666667,94.37777778,"17",17.9612992990388
"115",12.2,13.66766667,38.35555556,91,"18",17.715168902792
"116",21.2,21.257,43.11111111,88.55555556,"19",22.4771472028813
"117",10.5,13.86466667,54.8,82.31111111,"20",16.0301897721782
"118",13.6,16.67844445,61.37777778,80.37777778,"21",15.9543799018431
"119",16.2,17.53122223,61.68888889,80,"22",17.2091894626514
"120",19.7,24.52866667,63.75555556,79.55555556,"23",18.8381266243735
"121",17.3,21.09761364,64.75,79,"0",16.9105461539784
"122",16.6,19.15044445,64.62222222,78.37777778,"1",14.4736930360355
"123",15.5,17.113,64.77777778,77.24444444,"2",13.0755530375072
"124",17.4,22.86611111,65.08888889,77.17777778,"3",15.7346347786326
"125",19.2,21.17922223,64.66666667,77.06666667,"4",15.4203982494963
"126",21.1,25.50945652,64.80434783,76.97826087,"5",18.1666584650187
"127",25.7,31.18211111,64.91111111,76.95555556,"6",19.848932621789
"128",30.8,41.35566667,63.2,77.53333333,"7",24.9149740700323
"129",26.4,35.14011111,57.08888889,80.71111111,"8",21.0567268987238
"130",14.3,22.57077778,51.68888889,83.53333333,"9",15.9376512387634
"131",14.4,17.275,44.28888889,88.11111111,"10",14.4382745168906
"132",14.2,16.09911111,38.44444444,91.6,"11",15.4555190559577
"133",18.2,18.74311112,34.71111111,94.02222222,"12",17.7724382562116
"134",18.3,16.82922222,32.8,95.68888889,"13",17.696412922166
"135",18.8,14.82755556,32.06666667,95.88888889,"14",16.2731315723273
"136",20.6,16.30866107,33.2173913,94.7826087,"15",18.6478630515335
"137",19,18.513,33.71111111,93.97777778,"16",20.4628535271911
"138",25.3,19.34622222,35.55555556,92.66666667,"17",21.6813666199782
"139",24.3,22.16966667,43.97777778,87.51111111,"18",22.0678688888876
"140",16.9,19.86749472,51.06818182,83.40909091,"19",20.6875982169299
"141",31.8,26.09644445,55.86666667,82.95555556,"20",22.7966823077896
"142",29.1,28.42233334,64.15555556,79.97777778,"21",20.4696507923998
"143",25.5,28.79666667,65.26666667,79.88888889,"22",21.7905298335902
"144",26.8,26.19144445,63.93333333,79.55555556,"23",19.6576176101397
"145",25.1,29.253,63.95555556,79.02222222,"0",20.4068659292761
"146",18.7,20.44744445,63.48888889,78.42222222,"1",15.3026582579433
"147",13.4,15.52877778,61.97777778,78.95555556,"2",12.578620241372
"148",12.5,16.06266667,60.82222222,79,"3",13.0404701311674
"149",12.5,13.52866667,60.68888889,78.35555556,"4",11.9677199196339
"150",13.4,15.67411112,61.88888889,78,"5",13.5595782973041
"151",21.6,29.59666667,60.8,78,"6",20.2418201939533
"152",22.1,30.00766667,59.73333333,78.66666667,"7",19.927135047267
"153",17.9,24.55655556,56.24444444,80.62222222,"8",15.2009559028907
"154",16.8,16.78811112,50.06666667,83.68888889,"9",13.0585212886911
"155",18.6,13.87544445,47.08888889,85.35555556,"10",12.171564388038
"156",19.8,11.401,42.82222222,88.26666667,"11",12.7393164289166
"157",15.8,12.66788889,40.6,89.91111111,"12",14.0949105597618
"158",14.8,11.47555556,37.91111111,91.95555556,"13",14.4461569816342
"159",20.1,12.16666667,33.26666667,95.28888889,"14",14.7646232588355
"160",17.4,9.367666667,31.62222222,95.97777778,"15",14.5737232598499
"161",13.8,11.04533333,35.06666667,93.77777778,"16",16.4003407002939
"162",20.9,14.24811111,35.46666667,93.26666667,"17",18.8578347630003
"163",25,21.634,38.57777778,90.86666667,"18",22.1415458902824
"164",17.8,21.67588889,54.11111111,86.02222222,"19",21.6461449723502
"165",38.4,46.284,59.33333333,85,"20",35.6166823069599
"166",46.2,53.82022222,61.26666667,83.75555556,"21",45.8539113001584
"167",20.6,27.78533334,67.11111111,79.84444444,"22",21.1977561120073
"168",22.9,28.18355556,69.88888889,78.71111111,"23",19.2014900792704
"169",23.8,25.74011111,69.73333333,79,"0",18.3980729919574
"170",20.5,21.03755556,70.04444444,78,"1",15.0926050706416
"171",23,18.916,69.55555556,78,"2",13.6951243856987
"172",14.6,14.79033334,68.57777778,78,"3",11.8262333528999
"173",14.1,13.086,67.26666667,78,"4",11.6406660541084
"174",16.3,15.69888889,66.8,78,"5",13.2381243763489
"175",19.5,28.32433333,66.73333333,77.97777778,"6",18.735687533751
"176",20.6,30.17611111,64.68888889,78.8,"7",19.5691162581986
"177",16.6,16.25,58.93333333,80.93333333,"8",10.8837531843706
"178",13.3,14.01066667,54.62222222,82.6,"9",11.1518999780124
"179",14.8,14.12666667,49.35555556,85.68888889,"10",12.2190124749641
"180",19.9,12.62788889,43.95555556,88.68888889,"11",13.2244318873536
"181",15.7,12.30055556,41.95555556,90.13333333,"12",13.7840415011629
"182",16.6,12.58577778,40.4,91.28888889,"13",14.72122210046
"183",13.9,12.42711111,39.17777778,92.64444444,"14",14.4129137390328
"184",20,12.84477273,36.13636364,94.81818182,"15",16.4484097153284
"185",20.4,20.64066667,37.91111111,93.86666667,"16",21.1301063150721
"186",20.8,19.75211111,42.53333333,89.88888889,"18",20.9556366840006
"187",25.4,30.06554348,43.95652174,88.39130435,"19",27.5024522652372
"188",27,31.26088889,46,87.44444444,"20",26.8874841951449
"189",36.1,33.32477778,49,86.35555556,"21",28.7092798821666
"190",22.6,24.46197675,57.65116279,81.95348837,"22",21.1036213312226
"191",21.7,19.78255556,62.35555556,79.84444444,"23",16.4995204086988
"192",14.4,19.501,67.66666667,78.15555556,"0",15.7075490862196
"193",15.2,14.48811111,69.13333333,78,"1",11.4545491613577
"194",13,16.70044445,70.42222222,77.62222222,"2",12.4960322031497
"195",10,12.278,69.53333333,77,"3",10.5083635754003
"196",13.7,15.93022223,69.28888889,77,"4",12.7339245079278
"197",17.1,18.22766667,68.28888889,77,"5",14.4559985606833
"198",21.5,24.91955556,67.11111111,77.06666667,"6",17.3980635892914
"199",20.5,29.74011111,68.26666667,77,"7",18.7665529097124
"200",19.8,30.57655556,66.86666667,77.75555556,"8",15.2416530589234
"201",16.3,27.12733334,60.95555556,80.97777778,"9",17.2389703099668
"202",13.8,18.61366667,55.13333333,83.77777778,"10",14.2907564134348
"203",9.9,19.52377778,52.53333333,85.24444444,"11",16.5609340130539
"204",13.3,19.07844445,46.4,88.77777778,"12",17.2659190917737
"205",15.8,16.435,42.44444444,90.51111111,"13",16.4850313232958
"206",10.6,13.87588889,39,92.66666667,"14",15.2138330946668
"207",13.1,13.626,36.62222222,93.82222222,"15",16.9434765019833
"208",18.2,15.73911111,35.82222222,93.8,"16",18.8645280846299
"209",33.9,28.82888889,39.88888889,91.17777778,"17",25.7394845799493
"210",28.5,27.1583721,55.23255814,85.41860465,"18",24.3311142687776
"211",10.6,17.75613637,69.81818182,78.52272727,"19",17.1422826405599
"212",13.6,18.37733333,71.08888889,77.02222222,"20",16.0257112565528
"213",15.8,17.74133333,70.46666667,77,"21",15.578977162408
"214",13.3,15.87566667,68.4,77,"22",15.5239509960071
"215",18.4,15.807,66.84444444,77,"23",13.6876142801272
"216",13.9,16.11671717,67.08888889,77,"0",13.7318225055828
"217",12.6,14.34911111,67.22222222,77,"1",11.4565038399517
"218",14.4,21.56293479,67.84782609,76.34782609,"2",14.8820974297025
"219",12,14.53811111,67.86666667,76,"3",11.5273116229947
"220",7.8,13.35933334,67.68888889,76,"4",11.478605725515
"221",12.3,19.91655556,67.88888889,75.22222222,"5",15.0786663390672
"222",17.2,23.17988889,68.22222222,75,"6",16.3255783199167
"223",21.5,34.02533334,65.62222222,76.35555556,"7",23.8618448353293
"224",21.1,26.24977778,61.57777778,78,"8",15.3470898314272
"225",10.4,16.91622222,59.44444444,79.31111111,"9",11.8713915814134
"226",21.5,15.45055556,52.97777778,82.84444444,"10",12.5877239750179
"227",16.3,16.64955556,50.75555556,84.51111111,"11",15.1510605939005
"228",13.7,15.34611111,45.4,87.93333333,"12",15.1723002320264
"229",14.4,16.13322223,45.06666667,88.28888889,"13",15.9794716401922
"230",18.2,13.64466667,42.6,89.97777778,"14",14.8349656749119
"231",13.3,11.28211111,44.91111111,87.11111111,"15",15.5739752832138
"232",15.6,12.52633334,47.06666667,86.33333333,"16",15.6712062538
"233",11.2,10.022,48.28888889,85.66666667,"17",15.3306216057994
"234",16,13.10455556,50.46666667,84.13333333,"18",16.2984318640203
"235",20,17.81888889,55.06666667,81.91111111,"19",19.056450518747
"236",13,16.27255556,57.15555556,80.22222222,"20",16.885058010976
"237",13,11.48688889,59.48888889,78.55555556,"21",13.1735294364203
"238",10.4,9.776333334,62.86666667,77.73333333,"22",13.0744977301516
"239",14,12.25611112,66.42222222,77.08888889,"23",11.9215510055769
"240",9.7,10.81344445,66.84444444,76.97777778,"0",11.0398471663176
"241",11.2,10.62033333,66.4,76.97777778,"1",9.5950792619887
"242",7.8,9.723320707,66.13636364,76.09090909,"2",9.28367962864087
"243",12.6,13.09239131,66.86956522,76.04347826,"3",10.9476276566356
"244",13.3,15.05928572,67,76,"4",12.2503044046922
"245",13,16.46511111,67.26666667,75.17777778,"5",13.3348556417012
"246",17.1,24.24011111,67.57777778,75.08888889,"6",16.814692662364
"247",26.2,33.68566667,65.68888889,76,"7",23.4282082953202
"248",14.5,23.50077778,62.66666667,77.15555556,"8",14.0162655278197
"249",16.9,19.38744445,55.06666667,80.84444444,"9",13.7062640085972
"250",15.3,19.82611111,54.22222222,81.31111111,"10",14.8459106402449
"251",15.9,21.103,50.6,83.53333333,"11",17.2291976384716
"252",18.1,20.09522222,46.57777778,85.97777778,"12",17.7667024476176
"253",19.7,16.853,45.95555556,86.68888889,"13",16.1990755177799
"254",18,16.98011112,48.91111111,84.82222222,"14",16.1062334758916
"255",14.6,11.17777778,48.84444444,84.26666667,"15",15.2864057947358
"256",17.9,13.77144445,48.08888889,84.77777778,"16",16.0727545895763
"257",15.7,14.41715909,49.54545455,83.38636364,"17",17.6021223362818
"258",17.3,20.58457265,56.25,80.55555556,"18",20.0805826061253
"259",17.7,18.80637561,56,79.21621622,"19",19.0944147322013
"260",16.2,20.70877632,64.94736842,77.15789474,"20",18.4522665647713
"261",20.3,18.75069491,72,75.30232558,"21",15.6174833847513
"262",9.2,15.37917283,74.15909091,74.11363636,"22",14.7844936319527
"263",7.6,14.52431818,74.06818182,73.97727273,"23",12.5868116446316
"264",10.3,14.81431722,74.78378378,73.16216216,"0",12.1311872093627
"265",13.6,17.22813044,74.65217391,72.56521739,"1",12.0833416522607
"266",6.4,20.28208276,60.48,79.48,"10",14.7225240608864
"267",24,20.7164795,55.45454545,81.48484848,"11",16.4416220921385
"268",20.9,20.20914502,51.23809524,83.5,"12",17.0523018382849
"269",27.4,19.5145303,46.54545455,85.84090909,"13",17.3516765698912
"270",28.7,20.88322223,46.11111111,85.73333333,"14",18.4105618721776
"271",20.4,19.326,47.95555556,84.26666667,"15",19.234480831656
"272",19.5,15.17,49.33333333,84.4,"16",16.643457914445
"273",25.6,20.66933334,51.33333333,82.84444444,"17",21.2134250567454
"274",30,27.74811111,52.82222222,81.97777778,"18",24.4541249565013
"275",23,26.22722222,59.91111111,79.53333333,"19",22.4133082621094
"276",23.4,28.86555556,64.6,77.71111111,"20",21.7913927201974
"277",24.6,29.42822222,65.44444444,77,"21",20.2669568921631
"278",22.3,26.44577778,63.88888889,76.97777778,"22",20.9860233769563
"279",15.9,16.78344445,62.62222222,76.08888889,"23",14.3805673920337
"280",16.6,17.16788889,64.28888889,75.51111111,"0",14.4144867413994
"281",15.5,14.95244445,65.91111111,75.04444444,"1",11.7023131263858
"282",16.4,22.85533334,67.4,74.71111111,"2",15.3273712235279
"283",15,21.85088889,68.06666667,74.24444444,"3",14.7411143019661
"284",18.8,29.34022223,69.15555556,74,"4",17.4349877040343
"285",20.1,27.352,70,74,"5",18.1446471387989
"286",22.4,32.95622222,69.82222222,74.06666667,"6",19.7416199422564
"287",28.8,39.11211111,67.64444444,75.24444444,"7",23.553947420976
"288",23.8,34.30021739,62.82608696,77.32608696,"8",17.4600384584973
"289",19.7,28.13533334,57.33333333,80.22222222,"9",17.5538542807485
"290",18.4,23.22355556,50.51111111,84.17777778,"10",16.8607162942654
"291",16.9,18.46811111,44.37777778,87.97777778,"11",16.5520376116354
"292",21.3,19.42322223,40.02222222,91.06666667,"12",17.9624797923014
"293",18.1,17.54911111,37.82222222,92.66666667,"13",17.409053294327
"294",19.1,17.50088889,35.22222222,94.86666667,"14",17.4166307899515
"295",18.4,16.21666667,33.22222222,96.13333333,"15",18.5229793931912
"296",24.8,19.91577778,34.84444444,94.22222222,"16",21.0215805774617
"297",25.4,21.58422223,38.82222222,91.04444444,"17",22.6760988247835
"298",25.3,24.90711112,46.28888889,86.91111111,"18",23.4884908550689
"299",26.3,26.95377778,52.8,84.06666667,"19",24.2984755714179
"300",24.9,26.17766667,54.35555556,83.62222222,"20",23.0120781197414
"301",24.2,24.83344445,56,82.64444444,"21",20.8200131950584
"302",24.2,28.96277778,58,81.46666667,"22",22.8082837609045
"303",15.2,15.61377778,58.15555556,80.31111111,"23",14.5355444307903
"304",10.6,12.964,59.33333333,80,"0",13.0912942985206
"305",14.4,16.36288889,61.95555556,80,"1",13.3257650943541
"306",8.6,12.95788889,63.02222222,79.04444444,"2",11.2171537039507
"307",16.5,17.63355556,64.37777778,78.31111111,"3",13.5024977177782
"308",17.8,19.72233334,64.95555556,77.91111111,"4",14.8114417526618
"309",18.5,19.715,65.31111111,77.04444444,"5",15.3379390394851
"310",21.7,24.60522223,64.8,77,"6",17.5399000830495
"311",20.9,26.75977778,64.13333333,77.42222222,"7",18.2509750032489
"312",12.6,21.63888889,60.2,79.55555556,"8",13.4296101631126
"313",14.9,17.57211112,55.53333333,82.08888889,"9",12.8948931521865
"314",14.5,15.03255556,51.2,84.44444444,"10",12.5869438756058
"315",12.7,14.37033334,46.91111111,87.2,"11",14.0126677136367
"316",15.7,14.93755556,42,90.22222222,"12",15.2764998138668
"317",17.9,16.42147727,42.06818182,90.13636364,"13",16.4849731310409
"318",17.3,14.73844445,42.42222222,89.84444444,"14",15.4384794815597
"319",18.9,12.63688889,38.95555556,91.97777778,"15",16.3625295649724
"320",22.8,15.77711111,38.17777778,92.15555556,"16",18.6176944923779
"321",19,15.13064785,45.97619048,87.33333333,"17",18.3061144161653
"322",28.1,26.70522222,53.06666667,84.2,"18",24.151897150763
"323",10.6,17.08222222,67.11111111,79.42222222,"19",17.3959327836428
"324",20,22.41044445,70.51111111,78,"20",18.1439715878465
"325",16.2,19.40322222,69.55555556,78.13333333,"21",16.5396028996731
"326",22.9,20.29388889,69.66666667,77.88888889,"22",17.8806625086477
"327",22.4,26.02288889,70.88888889,77.48888889,"23",18.2848281950876
"328",22.3,26.92133333,69.44444444,77.35555556,"0",18.5940924944801
"329",20.9,27.16059091,67.88636364,77,"1",17.7215646918181
"330",21.1,26.5789757,68.40625,76.34375,"2",16.5754457416626
"331",21.8,28.63134146,69.51219512,75.85365854,"3",17.022114430896
"332",20.4,31.86653534,70.30769231,75.20512821,"4",17.7596793499847
"333",26,36.13921053,70.97368421,75,"5",20.0791641919522
"334",35.8,47.67388742,70.46511628,75,"6",30.2226596006802
"335",38.9,48.47489611,69.57575758,75.96969697,"7",28.2680755355818
"336",26.7,40.46630031,68.35294118,76.29411765,"8",17.2984585312524
"337",27.9,37.11179546,66.6,77.6,"9",19.3106620371699
"338",22.8,31.70622223,63.93333333,78.82222222,"10",16.3038671933821
"339",13.9,20.72733334,56.57777778,80.6,"11",16.2334759484374
"340",13.2,12.52933333,47.35555556,83.6,"12",13.2761879307472
"341",11.9,8.909589286,43.925,84.725,"13",12.3177572982142
"342",10.2,6.37275,41.90625,86,"14",11.2460033983503
"343",13.7,8.784722222,42.125,85.35,"15",14.5289406436756
"344",11.9,8.958857143,45.71428571,83.57142857,"16",13.7047229729547
"345",18.3,15.58640476,46.28571429,82.37142857,"17",18.476975557448
"346",21,17.02494643,50.625,80.625,"18",18.4600237100794
"347",14.5,17.73135773,54.55882353,78.91176471,"19",18.6699267549988
"348",23.8,23.80470966,57.23529412,78.47058824,"20",20.8944349877477
"349",22.5,22.60033333,59.27777778,78.02777778,"21",18.914051930699
"350",20.5,23.57234015,60.56756757,77.45945946,"22",19.8646538678739
"351",19.2,22.80002381,62.69047619,76.66666667,"23",17.6131868340667
"352",14.5,16.33017073,63.42857143,76.05714286,"0",14.085210637999
"353",10.3,11.5499008,64.02777778,75.52777778,"1",10.1165720249422
"354",9.3,13.18570205,67.21621622,74.89189189,"2",10.7849530247914
"355",17.3,19.61540476,68.85714286,74.8,"3",13.8298202949437
"356",15.6,18.29699662,68.91891892,74.91891892,"4",13.5863544461032
"357",23.1,25.40914439,69.02941176,74.5,"5",17.5949682345927
"358",24.5,32.26025794,70.36111111,74,"6",18.8151696450924
"359",27.9,38.08267733,68.45,75.15,"7",23.7581076918053
"360",18.5,24.19889113,61.84375,78.09375,"8",14.4914094218334
"361",20.4,16.90202067,51.93023256,82.74418605,"9",12.8555621654806
"362",23.3,17.28488889,46.51111111,85.62222222,"10",14.2649254843963
"363",23.6,18.597,41.75555556,88.28888889,"11",16.7271200971042
"364",23.2,16.928,38.15555556,90.06666667,"12",16.6319104233016
"365",17.3,13.79550325,38.5952381,89.97619048,"13",15.3733421083369
"366",20.5,14.20425,37.97058824,90,"14",15.4164863122656
"367",24.8,15.56783876,37.5,89.75,"15",18.2751777771718
"368",21.4,13.28316667,36.33333333,89.15151515,"16",17.3206807879844
"369",22.2,18.27574695,49.85,84.8,"17",19.8116724431308
"370",25.7,26.17673203,57.83333333,81.77777778,"18",23.0685012310793
"371",21.5,23.40680837,55.55263158,80.76315789,"19",21.6818272079918
"372",21.8,22.01474359,55.8974359,79.58974359,"20",20.2448675063297
"373",23.8,24.06440192,56.97368421,79,"21",19.8489216575292
"374",21,24.33303846,59.9,78.06666667,"22",20.3472651166373
"375",13.2,19.14924328,62.71794872,77,"23",15.7482021770305
"376",13.7,17.535,64.11111111,76.08333333,"0",14.7000816787589
"377",13.5,17.01556819,64.90909091,76,"1",12.9873073617126
"378",16.1,18.544,65.2,75.64444444,"2",13.6685338510691
"379",16.1,17.54028067,65.72972973,74.97297297,"3",12.9453094452098
"380",13.1,18.66677034,66.86842105,74,"4",13.7572656253461
"381",15.5,27.04004293,68.22222222,74.57777778,"5",18.437003347881
"382",19.8,33.03466667,68.8,74.46666667,"6",20.2143185437437
"383",18.9,32.24575,67.7,75,"7",20.8134288526503
"384",15.8,30.7866656,64.89473684,76.13157895,"8",15.5017492551247
"385",21.1,28.71952381,59.2,78.975,"9",17.4785135746014
"386",22,22.51604735,52.47058824,81.97058824,"10",16.4068156437465
"387",19.8,22.77842986,50.64864865,82.97297297,"11",17.8004364502123
"388",26.4,21.40636466,46.07894737,85.57894737,"12",18.4432214413034
"389",15.8,17.14325,42.725,87.625,"13",16.6454922915296
"390",13.4,15.90466667,46.55555556,86.35555556,"14",15.7252775234401
"391",25.9,18.00866667,42.91111111,87.93333333,"15",19.4184655455809
"392",12.1,19.22922222,56.46666667,82.82222222,"16",17.8095764840879
"393",20.1,18.37855556,60.46666667,80.08888889,"17",19.1129306416257
"394",15.3,20.5074673,65.15625,78,"18",18.5004289484872
"395",23.4,28.37449147,64.5,78.10526316,"19",21.7868410308022
"396",19.1,28.37563514,64.13513514,79,"20",21.9243687928925
"397",27.1,29.05007143,63.85714286,78.54285714,"21",20.500815211614
"398",26.6,30.98312903,61.87096774,77.96774194,"22",22.5892260613221
"399",20.3,21.60190597,56.58408409,80.28378379,"23",18.0012704265735
"400",16.3,17.59187984,56.6627907,79.9883721,"0",15.8536324968624
"401",15.7,16.43571994,57.64864865,79.5,"1",13.715085056392
"402",17.9,16.77433334,58.06666667,79.5,"2",13.5123400606971
"403",20.8,17.13666667,58.61111111,79.5,"3",13.7221213326955
"404",15.1,18.35305556,59.18888889,79.5,"4",14.6700099297733
"405",21.8,20.74566667,59.93333334,79.22222222,"5",16.4438235894497
